7450-458163
OS REV: 1.05 Sensor Cal: 1679088563
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268260,+3.55,+20.758, +7.838,+0.953
1692268560,+3.55,+20.766, +7.825,+0.953
1692268860,+3.54,+20.925, +7.779,+0.953
1692269160,+3.54,+21.109, +7.741,+0.953
1692269460,+3.55,+21.377, +7.681,+0.953
1692269760,+3.55,+21.703, +7.624,+0.953
1692270060,+3.54,+21.971, +7.574,+0.953
1692270360,+3.54,+22.180, +7.522,+0.952
1692270660,+3.54,+22.313, +7.485,+0.953
1692270960,+3.55,+22.380, +7.478,+0.953
1692271260,+3.55,+22.531, +7.435,+0.953
1692271560,+3.54,+22.665, +7.405,+0.953
1692271860,+3.54,+22.782, +7.381,+0.953
1692272160,+3.54,+22.882, +7.376,+0.953
1692272460,+3.54,+22.974, +7.351,+0.953
1692272760,+3.54,+23.117, +7.306,+0.953
1692273060,+3.54,+23.225, +7.278,+0.953
1692273360,+3.54,+23.292, +7.258,+0.953
1692273660,+3.54,+23.318, +7.267,+0.953
1692273960,+3.54,+23.368, +7.259,+0.953
1692274260,+3.54,+23.451, +7.239,+0.953
1692274560,+3.54,+23.518, +7.216,+0.953
1692274860,+3.54,+23.594, +7.198,+0.953
1692275160,+3.54,+23.669, +7.185,+0.953
1692275460,+3.54,+23.770, +7.161,+0.953
1692275760,+3.54,+23.921, +7.134,+0.953
1692276060,+3.54,+24.139, +7.099,+0.953
1692276360,+3.54,+24.390, +7.070,+0.953
1692276660,+3.54,+24.567, +7.035,+0.953
1692276960,+3.54,+24.709, +7.011,+0.953
1692277260,+3.54,+24.894, +6.975,+0.953
1692277560,+3.54,+25.239, +6.936,+0.953
1692277860,+3.54,+25.846, +6.856,+0.954
1692278160,+3.54,+26.310, +6.781,+0.954
1692278460,+3.54,+26.589, +6.735,+0.953
1692278760,+3.54,+26.826, +6.705,+0.954
1692279060,+3.53,+27.445, +6.617,+0.953
1692279360,+3.53,+28.314, +6.517,+0.954
1692279660,+3.54,+28.878, +6.452,+0.954
1692279960,+3.53,+30.974, +6.219,+0.953
1692280260,+3.53,+29.255, +5.252,+0.953
1692280560,+3.53,+29.230, +6.177,+0.952
1692280860,+3.53,+29.238, +7.347,+0.952
1692281160,+3.53,+29.238, +7.984,+0.953
1692281460,+3.53,+29.324, +8.567,+0.953
1692281760,+3.53,+29.384, +8.896,+0.952
1692282060,+3.53,+29.436, +8.987,+0.953
1692282360,+3.53,+29.573, +9.174,+0.953
1692282660,+3.53,+29.599, +7.101,+0.953
1692282960,+3.53,+29.634, +6.870,+0.952
1692283260,+3.53,+29.685, +6.783,+0.953
1692283560,+3.53,+29.720, +6.753,+0.954
1692283860,+3.53,+29.754, +6.667,+0.953
1692284160,+3.53,+29.780, +6.600,+0.953
1692284460,+3.53,+29.806, +6.514,+0.952
1692284760,+3.53,+29.814, +6.451,+0.952
1692285060,+3.53,+29.823, +6.363,+0.952
1692285360,+3.53,+29.840, +6.252,+0.952
1692285660,+3.53,+29.832, +6.172,+0.952
1692285960,+3.54,+29.883, +6.119,+0.952
1692286260,+3.54,+29.892, +6.106,+0.953
1692286560,+3.54,+29.901, +6.102,+0.952
1692286860,+3.54,+29.935, +6.081,+0.952
1692287160,+3.54,+29.944, +6.054,+0.952
1692287460,+3.54,+29.970, +6.025,+0.952
1692287760,+3.54,+29.996, +5.981,+0.952
1692288060,+3.54,+30.047, +5.929,+0.952
1692288360,+3.54,+30.065, +5.862,+0.952
1692288660,+3.54,+30.090, +5.775,+0.952
1692288960,+3.54,+30.134, +5.715,+0.952
1692289260,+3.54,+30.159, +5.664,+0.952
1692289560,+3.54,+30.194, +5.658,+0.952
1692289860,+3.54,+30.220, +5.641,+0.952
1692290160,+3.54,+30.237, +5.593,+0.952
1692290460,+3.54,+30.289, +5.519,+0.952
1692290760,+3.54,+30.298, +5.456,+0.952
1692291060,+3.54,+30.358, +6.084,+0.953
1692291360,+3.54,+30.462, +6.236,+0.953
1692291660,+3.54,+30.549, +6.572,+0.953
1692291960,+3.54,+30.592, +7.071,+0.953
1692292260,+3.54,+30.627, +7.577,+0.953
1692292560,+3.54,+30.653, +7.894,+0.953
1692292860,+3.54,+30.627, +7.959,+0.952
1692293160,+3.54,+30.661, +7.855,+0.953
1692293460,+3.54,+30.653, +8.125,+0.953
1692293760,+3.54,+30.670, +8.241,+0.952
1692294060,+3.54,+30.687, +8.291,+0.953
1692294360,+3.54,+30.687, +8.346,+0.953
1692294660,+3.54,+30.696, +8.535,+0.953
1692294960,+3.54,+30.713, +8.625,+0.953
1692295260,+3.54,+30.687, +8.684,+0.953
1692295560,+3.54,+30.696, +8.684,+0.953
1692295860,+3.54,+30.601, +7.405,+0.953
1692296160,+3.54,+30.401, +7.232,+0.952
1692296460,+3.54,+30.367, +7.081,+0.952
1692296760,+3.54,+30.488, +6.892,+0.951
1692297060,+3.54,+30.687, +6.676,+0.951
1692297360,+3.54,+31.191, +6.408,+0.951
1692297660,+3.54,+31.374, +6.275,+0.951
1692297960,+3.54,+32.335, +5.793,+0.949
1692298260,+3.54,+33.586, +5.607,+0.948
1692298560,+3.54,+33.772, +5.353,+0.948
1692298860,+3.54,+33.436, +5.150,+0.949
1692299160,+3.54,+32.545, +5.094,+0.950
1692299460,+3.54,+31.871, +5.160,+0.951
1692299760,+3.54,+31.252, +4.825,+0.952
1692300060,+3.54,+30.679, +6.423,+0.949
1692300360,+3.54,+30.436, +6.130,+0.947
1692300660,+3.54,+31.234, +6.590,+0.952
1692300960,+3.54,+31.967, +6.570,+0.951
1692301260,+3.54,+32.774, +6.162,+0.950
1692301560,+3.54,+32.572, +6.261,+0.949
1692301860,+3.54,+32.309, +6.054,+0.949
1692302160,+3.54,+31.993, +6.034,+0.950
1692302460,+3.54,+31.714, +6.206,+0.950
1692302760,+3.54,+31.382, +6.242,+0.950
1692303060,+3.55,+31.069, +6.139,+0.950
1692303360,+3.54,+30.861, +6.240,+0.951
1692303660,+3.54,+30.705, +6.199,+0.950
1692303960,+3.54,+30.575, +6.161,+0.950
1692304260,+3.54,+30.419, +6.255,+0.951
1692304560,+3.54,+30.376, +6.288,+0.951
1692304860,+3.55,+30.358, +6.230,+0.951
1692305160,+3.55,+30.367, +6.110,+0.951
1692305460,+3.54,+30.367, +6.202,+0.951
1692305760,+3.55,+30.384, +5.862,+0.950
1692306060,+3.54,+30.462, +6.261,+0.951
1692306360,+3.54,+30.462, +6.443,+0.952
1692306660,+3.54,+30.497, +6.389,+0.951
1692306960,+3.54,+30.505, +6.058,+0.949
1692307260,+3.54,+30.531, +5.317,+0.946
1692307560,+3.54,+30.453, +5.939,+0.948
1692307860,+3.55,+30.211, +7.111,+0.954
1692308160,+3.55,+29.084, +7.558,+0.953
1692308460,+3.55,+28.203, +7.668,+0.954
1692308760,+3.55,+27.632, +7.735,+0.954
1692309060,+3.55,+27.173, +7.790,+0.955
1692309360,+3.55,+26.784, +7.843,+0.955
1692309660,+3.55,+26.462, +7.875,+0.955
1692309960,+3.55,+26.175, +7.902,+0.955
1692310260,+3.55,+25.888, +7.933,+0.954
1692310560,+3.56,+25.601, +7.978,+0.955
