7450-471033
OS REV: 1.05 Sensor Cal: 1679088763
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268260,+3.54,+20.738, +6.712,+0.918
1692268560,+3.54,+20.763, +6.710,+0.919
1692268860,+3.54,+20.880, +6.700,+0.919
1692269160,+3.53,+21.031, +6.662,+0.918
1692269460,+3.54,+21.206, +6.638,+0.918
1692269760,+3.54,+21.398, +6.621,+0.919
1692270060,+3.54,+21.624, +6.582,+0.918
1692270360,+3.53,+21.833, +6.546,+0.918
1692270660,+3.53,+21.975, +6.515,+0.918
1692270960,+3.53,+22.159, +6.482,+0.918
1692271260,+3.54,+22.351, +6.442,+0.917
1692271560,+3.54,+22.510, +6.423,+0.918
1692271860,+3.54,+22.627, +6.385,+0.917
1692272160,+3.53,+22.761, +6.374,+0.917
1692272460,+3.53,+22.928, +6.346,+0.917
1692272760,+3.53,+23.078, +6.307,+0.917
1692273060,+3.53,+23.187, +6.285,+0.917
1692273360,+3.53,+23.262, +6.263,+0.916
1692273660,+3.54,+23.321, +6.257,+0.917
1692273960,+3.54,+23.396, +6.238,+0.916
1692274260,+3.54,+23.505, +6.223,+0.917
1692274560,+3.53,+23.589, +6.192,+0.916
1692274860,+3.53,+23.639, +6.182,+0.916
1692275160,+3.53,+23.731, +6.166,+0.917
1692275460,+3.53,+23.823, +6.148,+0.917
1692275760,+3.53,+24.016, +6.104,+0.915
1692276060,+3.53,+24.150, +6.094,+0.916
1692276360,+3.53,+24.402, +6.054,+0.915
1692276660,+3.53,+24.578, +6.037,+0.916
1692276960,+3.53,+24.704, +6.007,+0.915
1692277260,+3.53,+24.906, +5.976,+0.915
1692277560,+3.53,+25.251, +5.951,+0.915
1692277860,+3.53,+25.798, +5.885,+0.914
1692278160,+3.53,+26.136, +5.834,+0.914
1692278460,+3.53,+26.423, +5.782,+0.913
1692278760,+3.53,+26.660, +5.753,+0.913
1692279060,+3.53,+27.279, +5.701,+0.913
1692279360,+3.53,+28.054, +5.628,+0.912
1692279660,+3.53,+28.652, +5.556,+0.911
1692279960,+3.53,+30.911, +5.376,+0.907
1692280260,+3.52,+31.853, +5.266,+0.904
1692280560,+3.52,+33.730, +5.079,+0.899
1692280860,+3.52,+33.810, +6.806,+0.898
1692281160,+3.53,+30.019, +5.366,+0.909
1692281460,+3.52,+29.596, +5.769,+0.911
