7450-566774
OS REV: 1.05 Sensor Cal: 1679419749
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268200,+3.47,+20.635, +8.584,+0.906
1692268500,+3.47,+20.660, +8.581,+0.905
1692268800,+3.47,+20.794, +8.579,+0.906
1692269100,+3.47,+21.062, +8.543,+0.906
1692269400,+3.47,+21.380, +8.480,+0.905
1692269700,+3.47,+21.798, +8.425,+0.906
1692270000,+3.47,+22.166, +8.347,+0.905
1692270300,+3.47,+22.484, +8.297,+0.905
1692270600,+3.47,+22.693, +8.259,+0.905
1692270900,+3.47,+22.844, +8.239,+0.905
1692271200,+3.47,+23.053, +8.206,+0.905
1692271500,+3.47,+23.212, +8.191,+0.905
1692271800,+3.47,+23.321, +8.148,+0.905
1692272100,+3.47,+23.372, +8.166,+0.906
1692272400,+3.47,+23.455, +8.166,+0.905
1692272700,+3.47,+23.615, +8.119,+0.905
1692273000,+3.47,+23.707, +8.097,+0.905
1692273300,+3.47,+23.690, +8.103,+0.905
1692273600,+3.47,+23.648, +8.137,+0.906
1692273900,+3.47,+23.632, +8.146,+0.905
1692274200,+3.47,+23.741, +8.135,+0.905
1692274500,+3.47,+23.850, +8.121,+0.905
1692274800,+3.47,+23.917, +8.097,+0.905
1692275100,+3.47,+23.975, +8.106,+0.905
1692275400,+3.47,+24.101, +8.092,+0.906
1692275700,+3.47,+24.278, +8.078,+0.905
1692276000,+3.47,+24.454, +8.049,+0.905
1692276300,+3.47,+24.706, +8.023,+0.905
1692276600,+3.47,+24.942, +7.991,+0.905
1692276900,+3.47,+25.085, +7.976,+0.905
1692277200,+3.47,+25.220, +7.967,+0.905
1692277500,+3.47,+25.498, +7.933,+0.905
1692277800,+3.47,+26.072, +7.843,+0.904
1692278100,+3.47,+26.613, +7.779,+0.904
1692278400,+3.47,+26.817, +7.754,+0.905
1692278700,+3.47,+26.961, +7.702,+0.904
1692279000,+3.47,+27.343, +7.647,+0.904
1692279300,+3.47,+27.974, +7.538,+0.902
1692279600,+3.46,+28.392, +7.501,+0.903
1692279900,+3.46,+29.369, +7.434,+0.903
1692280200,+3.46,+30.370, +7.318,+0.903
1692280500,+3.46,+31.481, +7.198,+0.902
1692280800,+3.46,+33.340, +6.930,+0.898
1692281100,+3.46,+34.528, +6.754,+0.895
1692281400,+3.46,+34.217, +5.663,+0.888
1692281700,+3.47,+30.820, +6.543,+0.900
1692282000,+3.47,+30.370, +7.744,+0.902
1692282300,+3.47,+30.197, +8.507,+0.903
1692282600,+3.47,+30.197, +8.612,+0.905
1692282900,+3.48,+30.093, +7.950,+0.904
1692283200,+3.48,+30.050, +8.378,+0.905
1692283500,+3.48,+29.990, +8.195,+0.905
1692283800,+3.48,+29.929, +7.956,+0.906
1692284100,+3.48,+29.938, +7.823,+0.904
1692284400,+3.48,+29.964, +8.236,+0.904
1692284700,+3.48,+29.972, +8.008,+0.905
1692285000,+3.48,+29.981, +8.218,+0.903
1692285300,+3.48,+30.050, +8.772,+0.905
1692285600,+3.48,+30.180, +9.246,+0.906
1692285900,+3.48,+30.223, +9.867,+0.907
1692286200,+3.48,+30.249,+10.183,+0.908
1692286500,+3.48,+30.309,+10.855,+0.907
1692286800,+3.47,+30.353,+10.534,+0.907
1692287100,+3.47,+30.396,+11.063,+0.907
1692287400,+3.47,+30.431,+11.229,+0.907
1692287700,+3.47,+30.482,+11.606,+0.907
1692288000,+3.47,+30.482,+11.973,+0.908
1692288300,+3.47,+30.534,+12.341,+0.908
1692288600,+3.47,+30.560,+11.948,+0.909
1692288900,+3.47,+30.543,+11.741,+0.907
1692289200,+3.47,+30.569,+11.709,+0.907
1692289500,+3.47,+30.552,+11.568,+0.909
1692289800,+3.47,+30.560,+11.678,+0.908
1692290100,+3.47,+30.543,+12.566,+0.909
1692290400,+3.47,+30.534,+12.772,+0.909
1692290700,+3.47,+30.517,+13.430,+0.910
1692291000,+3.47,+30.543,+13.841,+0.911
1692291300,+3.47,+30.508,+13.901,+0.909
