7450-562111
OS REV: 1.05 Sensor Cal: 1679419969
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268200,+3.47,+20.659, +8.046,+0.933
1692268500,+3.47,+20.650, +8.041,+0.933
1692268800,+3.47,+20.826, +7.999,+0.933
1692269100,+3.47,+21.060, +7.972,+0.933
1692269400,+3.47,+21.370, +7.923,+0.933
1692269700,+3.47,+21.771, +7.873,+0.933
1692270000,+3.46,+22.122, +7.816,+0.933
1692270300,+3.47,+22.499, +7.746,+0.933
1692270600,+3.47,+22.808, +7.691,+0.933
1692270900,+3.46,+23.051, +7.638,+0.932
1692271200,+3.47,+23.328, +7.592,+0.932
1692271500,+3.47,+23.596, +7.560,+0.932
1692271800,+3.46,+23.780, +7.504,+0.932
1692272100,+3.46,+23.931, +7.482,+0.932
1692272400,+3.46,+24.049, +7.462,+0.931
1692272700,+3.46,+24.200, +7.435,+0.933
1692273000,+3.46,+24.300, +7.402,+0.932
1692273300,+3.46,+24.342, +7.389,+0.933
1692273600,+3.46,+24.309, +7.394,+0.932
1692273900,+3.46,+24.292, +7.394,+0.931
1692274200,+3.46,+24.334, +7.392,+0.932
1692274500,+3.47,+24.435, +7.377,+0.932
1692274800,+3.47,+24.535, +7.348,+0.932
1692275100,+3.47,+24.603, +7.347,+0.933
1692275400,+3.47,+24.636, +7.333,+0.932
1692275700,+3.47,+24.771, +7.305,+0.932
1692276000,+3.46,+24.889, +7.289,+0.932
1692276300,+3.46,+25.082, +7.263,+0.932
1692276600,+3.46,+25.301, +7.237,+0.933
1692276900,+3.47,+25.478, +7.196,+0.932
1692277200,+3.47,+25.646, +7.176,+0.932
1692277500,+3.46,+25.950, +7.145,+0.932
1692277800,+3.46,+26.525, +7.072,+0.932
1692278100,+3.46,+27.068, +6.994,+0.932
1692278400,+3.46,+27.373, +6.949,+0.932
1692278700,+3.46,+27.731, +6.894,+0.932
1692279000,+3.46,+28.217, +6.839,+0.932
1692279300,+3.46,+28.824, +6.748,+0.931
1692279600,+3.46,+28.875, +5.037,+0.931
