7450-516531
OS REV: 1.05 Sensor Cal: 1679419607
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268140,+3.49,+20.726, +0.105,+0.881
1692268440,+3.49,+20.726, +0.097,+0.881
1692268740,+3.49,+20.851, +0.267,+0.885
1692269040,+3.49,+21.052, +0.790,+0.893
1692269340,+3.50,+21.278, +2.132,+0.900
1692269640,+3.49,+21.646, +5.247,+0.884
1692269940,+3.49,+21.997, +5.988,+0.888
1692270240,+3.49,+22.340, +5.371,+0.875
1692270540,+3.49,+22.683, +5.362,+0.878
1692270840,+3.49,+22.917, +5.808,+0.887
1692271140,+3.49,+23.202, +6.053,+0.891
1692271440,+3.49,+23.478, +6.377,+0.895
1692271740,+3.49,+23.729, +6.266,+0.894
1692272040,+3.49,+23.855, +6.548,+0.896
1692272340,+3.49,+23.989, +6.406,+0.896
1692272640,+3.49,+24.149, +6.467,+0.896
1692272940,+3.49,+24.283, +6.345,+0.895
1692273240,+3.49,+24.350, +6.381,+0.895
1692273540,+3.49,+24.325, +6.551,+0.897
1692273840,+3.49,+24.342, +6.682,+0.898
1692274140,+3.49,+24.400, +6.744,+0.898
1692274440,+3.49,+24.577, +6.383,+0.895
1692274740,+3.49,+24.602, +6.753,+0.898
1692275040,+3.49,+24.661, +7.734,+0.903
1692275340,+3.49,+24.652, +7.799,+0.903
1692275640,+3.49,+24.719, +7.811,+0.903
1692275940,+3.49,+24.795, +7.819,+0.904
1692276240,+3.49,+24.930, +7.796,+0.904
1692276540,+3.49,+25.140, +7.761,+0.904
1692276840,+3.48,+25.249, +7.744,+0.904
1692277140,+3.49,+25.359, +7.716,+0.903
1692277440,+3.49,+25.586, +7.688,+0.903
1692277740,+3.49,+26.075, +7.631,+0.904
1692278040,+3.49,+26.565, +7.563,+0.904
1692278340,+3.49,+26.828, +7.520,+0.903
1692278640,+3.49,+27.108, +7.478,+0.902
1692278940,+3.49,+27.583, +7.425,+0.903
1692279240,+3.48,+28.282, +7.308,+0.902
1692279540,+3.48,+28.649, +7.259,+0.901
1692279840,+3.48,+29.481, +7.181,+0.900
1692280140,+3.48,+30.524, +7.050,+0.900
1692280440,+3.48,+31.444, +6.954,+0.900
1692280740,+3.48,+33.117, +6.745,+0.897
1692281040,+3.49,+34.391, +6.554,+0.895
1692281340,+3.49,+30.559, +6.024,+0.897
1692281640,+3.49,+30.222, +6.740,+0.898
1692281940,+3.50,+30.032, +6.628,+0.900
1692282240,+3.50,+29.971, +6.763,+0.900
1692282540,+3.50,+30.040, +6.750,+0.900
1692282840,+3.50,+29.963, +7.019,+0.901
1692283140,+3.50,+29.937, +7.122,+0.901
1692283440,+3.50,+29.894, +7.096,+0.902
1692283740,+3.50,+29.859, +7.104,+0.902
1692284040,+3.50,+29.877, +7.204,+0.902
1692284340,+3.50,+29.894, +7.375,+0.903
1692284640,+3.50,+29.894, +7.483,+0.903
1692284940,+3.50,+29.937, +7.521,+0.901
1692285240,+3.50,+29.989, +7.784,+0.903
1692285540,+3.50,+30.135, +7.958,+0.902
1692285840,+3.50,+30.170, +7.983,+0.902
1692286140,+3.50,+30.187, +7.998,+0.902
1692286440,+3.49,+30.308, +8.379,+0.900
1692286740,+3.49,+30.360, +8.550,+0.901
1692287040,+3.49,+30.412, +8.883,+0.901
1692287340,+3.49,+30.464, +8.885,+0.903
1692287640,+3.49,+30.498, +8.703,+0.901
1692287940,+3.49,+30.472, +9.083,+0.904
1692288240,+3.49,+30.550, +9.581,+0.905
1692288540,+3.49,+30.585, +9.767,+0.905
1692288840,+3.49,+30.585, +9.646,+0.905
1692289140,+3.49,+30.619, +9.824,+0.906
1692289440,+3.49,+30.654, +9.609,+0.905
1692289740,+3.49,+30.637, +9.787,+0.906
1692290040,+3.49,+30.637, +9.879,+0.906
1692290340,+3.49,+30.611, +9.726,+0.906
1692290640,+3.49,+30.550, +9.593,+0.905
1692290940,+3.49,+30.585, +9.750,+0.906
1692291240,+3.49,+30.568, +9.625,+0.905
1692291540,+3.49,+30.611, +9.629,+0.906
1692291840,+3.49,+30.645, +9.810,+0.907
1692292140,+3.49,+30.645, +9.776,+0.905
1692292440,+3.49,+30.550, +9.250,+0.905
1692292740,+3.49,+30.490, +8.882,+0.904
1692293040,+3.49,+30.516, +8.838,+0.904
1692293340,+3.49,+30.472, +8.700,+0.905
1692293640,+3.49,+30.507, +8.815,+0.904
1692293940,+3.49,+30.507, +8.841,+0.904
1692294240,+3.49,+30.498, +8.818,+0.905
1692294540,+3.49,+30.542, +8.984,+0.905
1692294840,+3.49,+30.576, +9.207,+0.905
1692295140,+3.49,+30.524, +8.903,+0.905
1692295440,+3.49,+30.559, +9.127,+0.905
1692295740,+3.49,+30.576, +9.342,+0.906
1692296040,+3.49,+30.593, +9.389,+0.905
1692296340,+3.49,+30.611, +9.625,+0.905
1692296640,+3.49,+30.654, +9.778,+0.906
1692296940,+3.50,+31.088, +7.503,+0.901
1692297240,+3.50,+31.270, +7.435,+0.898
1692297540,+3.49,+32.414, +7.261,+0.897
1692297840,+3.49,+33.081, +7.211,+0.895
1692298140,+3.49,+34.098, +6.891,+0.893
1692298440,+3.49,+34.747, +6.885,+0.892
1692298740,+3.49,+35.220, +6.800,+0.890
1692299040,+3.49,+34.685, +6.929,+0.895
1692299340,+3.49,+33.717, +7.091,+0.898
1692299640,+3.49,+32.756, +7.250,+0.899
1692299940,+3.49,+31.924, +7.231,+0.900
1692300240,+3.50,+31.470, +7.352,+0.902
1692300540,+3.50,+31.959, +7.351,+0.902
1692300840,+3.50,+33.567, +7.146,+0.900
1692301140,+3.50,+34.596, +6.981,+0.898
1692301440,+3.50,+34.622, +6.970,+0.898
1692301740,+3.49,+33.779, +7.070,+0.900
1692302040,+3.50,+33.117, +7.127,+0.900
1692302340,+3.50,+32.545, +7.198,+0.902
1692302640,+3.50,+32.011, +7.258,+0.902
1692302940,+3.50,+31.540, +7.339,+0.903
1692303240,+3.50,+31.235, +7.377,+0.903
1692303540,+3.50,+31.062, +7.370,+0.903
1692303840,+3.50,+30.879, +7.397,+0.903
1692304140,+3.50,+30.723, +7.409,+0.904
1692304440,+3.50,+30.611, +7.432,+0.904
1692304740,+3.50,+30.619, +7.411,+0.903
1692305040,+3.50,+30.671, +7.405,+0.903
1692305340,+3.50,+30.645, +7.405,+0.903
1692305640,+3.50,+30.715, +7.390,+0.903
1692305940,+3.50,+30.767, +7.368,+0.903
1692306240,+3.50,+30.715, +7.380,+0.903
1692306540,+3.50,+30.793, +7.357,+0.903
1692306840,+3.50,+30.862, +7.353,+0.903
1692307140,+3.50,+30.871, +7.342,+0.903
1692307440,+3.49,+30.784, +7.354,+0.904
1692307740,+3.50,+30.550, +7.370,+0.904
1692308040,+3.50,+29.696, +7.389,+0.903
1692308340,+3.50,+28.914, +7.672,+0.904
1692308640,+3.50,+28.162, +7.776,+0.904
1692308940,+3.50,+27.558, +7.864,+0.904
1692309240,+3.50,+27.091, +7.929,+0.905
1692309540,+3.51,+26.726, +7.958,+0.904
1692309840,+3.50,+26.413, +7.997,+0.904
1692310140,+3.50,+26.134, +8.039,+0.905
1692310440,+3.51,+25.932, +8.114,+0.905
1692310740,+3.51,+25.771, +8.125,+0.906
