7450-233512
OS REV: 1.05 Sensor Cal: 1678992849
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268140,+3.52,+20.836, +8.467,+0.948
1692268440,+3.52,+20.845, +8.469,+0.949
1692268740,+3.52,+20.887, +8.464,+0.948
1692269040,+3.52,+20.987, +8.458,+0.949
1692269340,+3.52,+21.088, +8.425,+0.948
1692269640,+3.52,+21.313, +8.397,+0.948
1692269940,+3.52,+21.514, +8.375,+0.948
1692270240,+3.52,+21.807, +8.333,+0.948
1692270540,+3.52,+22.067, +8.272,+0.948
1692270840,+3.52,+22.318, +8.232,+0.948
1692271140,+3.52,+22.619, +8.193,+0.948
1692271440,+3.52,+22.895, +8.147,+0.947
1692271740,+3.52,+23.214, +8.095,+0.948
1692272040,+3.52,+23.415, +8.067,+0.947
1692272340,+3.52,+23.608, +8.066,+0.948
1692272640,+3.52,+23.834, +8.012,+0.947
1692272940,+3.52,+23.985, +7.967,+0.947
1692273240,+3.52,+24.111, +7.953,+0.947
1692273540,+3.51,+24.186, +7.953,+0.947
1692273840,+3.51,+24.279, +7.949,+0.947
1692274140,+3.52,+24.380, +7.933,+0.947
1692274440,+3.52,+24.472, +7.921,+0.947
1692274740,+3.52,+24.548, +7.903,+0.947
1692275040,+3.52,+24.606, +7.886,+0.947
1692275340,+3.52,+24.640, +7.863,+0.946
1692275640,+3.52,+24.724, +7.863,+0.947
1692275940,+3.52,+24.766, +7.866,+0.948
1692276240,+3.52,+24.850, +7.839,+0.947
1692276540,+3.52,+24.934, +7.834,+0.948
1692276840,+3.52,+25.002, +7.818,+0.947
1692277140,+3.52,+25.044, +7.810,+0.947
1692277440,+3.51,+25.170, +7.793,+0.947
1692277740,+3.52,+25.456, +7.754,+0.947
1692278040,+3.52,+25.777, +7.700,+0.947
1692278340,+3.51,+26.072, +7.659,+0.947
1692278640,+3.51,+26.461, +7.596,+0.947
1692278940,+3.51,+27.055, +7.514,+0.948
1692279240,+3.52,+27.769, +7.448,+0.947
1692279540,+3.51,+28.297, +7.368,+0.947
1692279840,+3.51,+29.257, +7.266,+0.948
1692280140,+3.51,+30.377, +7.112,+0.947
1692280440,+3.51,+31.279, +7.036,+0.947
1692280740,+3.51,+33.401, +6.782,+0.944
1692281040,+3.50,+35.321, +6.532,+0.940
1692281340,+3.50,+36.481, +6.351,+0.935
1692281640,+3.51,+31.071, +5.893,+0.942
1692281940,+3.51,+30.187, +5.367,+0.944
1692282240,+3.51,+30.126, +5.435,+0.945
1692282540,+3.51,+29.928, +6.245,+0.946
1692282840,+3.51,+29.825, +5.419,+0.942
1692283140,+3.51,+29.790, +4.993,+0.941
1692283440,+3.51,+29.781, +4.859,+0.940
1692283740,+3.51,+29.781, +4.874,+0.939
1692284040,+3.51,+29.790, +4.958,+0.939
1692284340,+3.51,+29.781, +5.045,+0.940
1692284640,+3.51,+29.781, +5.147,+0.941
1692284940,+3.51,+29.799, +5.200,+0.942
1692285240,+3.51,+29.816, +5.238,+0.942
1692285540,+3.51,+29.825, +5.232,+0.942
1692285840,+3.52,+29.833, +5.227,+0.942
1692286140,+3.52,+29.842, +5.282,+0.943
1692286440,+3.52,+29.885, +5.295,+0.943
1692286740,+3.52,+29.894, +5.323,+0.943
1692287040,+3.52,+29.919, +5.313,+0.943
1692287340,+3.52,+29.928, +5.354,+0.944
1692287640,+3.52,+29.963, +5.383,+0.944
1692287940,+3.52,+29.997, +5.388,+0.945
1692288240,+3.52,+30.032, +5.359,+0.944
1692288540,+3.52,+30.040, +5.326,+0.944
1692288840,+3.52,+30.057, +5.322,+0.944
1692289140,+3.52,+30.075, +5.279,+0.944
1692289440,+3.52,+30.083, +5.282,+0.944
1692289740,+3.52,+30.092, +5.229,+0.944
1692290040,+3.52,+30.057, +5.187,+0.945
1692290340,+3.52,+30.092, +5.094,+0.944
1692290640,+3.52,+30.083, +5.050,+0.944
1692290940,+3.52,+30.092, +5.079,+0.945
1692291240,+3.52,+30.092, +5.127,+0.944
1692291540,+3.52,+30.092, +5.175,+0.944
1692291840,+3.52,+30.118, +5.198,+0.944
1692292140,+3.52,+30.135, +5.230,+0.945
1692292440,+3.52,+30.135, +5.252,+0.944
1692292740,+3.52,+30.213, +5.856,+0.945
1692293040,+3.52,+30.239, +6.341,+0.946
1692293340,+3.52,+30.265, +6.453,+0.946
1692293640,+3.52,+30.334, +6.582,+0.945
1692293940,+3.52,+30.377, +6.855,+0.945
1692294240,+3.52,+30.403, +7.000,+0.945
1692294540,+3.52,+30.446, +7.028,+0.944
1692294840,+3.52,+30.455, +7.296,+0.944
1692295140,+3.52,+30.490, +7.271,+0.944
1692295440,+3.52,+30.498, +7.613,+0.945
1692295740,+3.52,+30.498, +7.392,+0.945
1692296040,+3.52,+30.472, +7.421,+0.946
1692296340,+3.52,+30.516, +7.611,+0.946
1692296640,+3.51,+30.516, +7.753,+0.946
1692296940,+3.52,+30.516, +7.642,+0.946
1692297240,+3.52,+30.542, +7.743,+0.946
1692297540,+3.52,+30.533, +7.778,+0.946
1692297840,+3.52,+30.533, +7.752,+0.946
1692298140,+3.52,+30.498, +7.641,+0.945
1692298440,+3.52,+30.507, +7.444,+0.946
1692298740,+3.52,+30.464, +7.144,+0.947
1692299040,+3.52,+30.386, +7.396,+0.946
1692299340,+3.52,+30.092, +7.433,+0.946
1692299640,+3.52,+29.807, +7.445,+0.947
1692299940,+3.52,+29.825, +7.409,+0.946
1692300240,+3.52,+29.807, +7.397,+0.946
1692300540,+3.52,+30.204, +7.394,+0.946
1692300840,+3.51,+31.680, +7.168,+0.945
1692301140,+3.52,+32.573, +7.054,+0.944
1692301440,+3.51,+32.951, +7.015,+0.943
1692301740,+3.51,+32.696, +7.052,+0.944
1692302040,+3.52,+32.283, +7.089,+0.944
1692302340,+3.51,+31.907, +7.142,+0.945
1692302640,+3.52,+31.584, +7.192,+0.946
1692302940,+3.52,+31.340, +7.228,+0.946
1692303240,+3.52,+31.175, +7.259,+0.946
1692303540,+3.52,+31.088, +7.246,+0.946
1692303840,+3.52,+30.966, +7.265,+0.946
1692304140,+3.52,+30.810, +7.254,+0.945
1692304440,+3.52,+30.723, +7.286,+0.947
1692304740,+3.52,+30.697, +7.284,+0.946
1692305040,+3.52,+30.732, +7.292,+0.946
1692305340,+3.52,+30.689, +7.289,+0.946
1692305640,+3.52,+30.723, +7.304,+0.947
1692305940,+3.52,+30.776, +7.260,+0.947
1692306240,+3.52,+30.706, +7.268,+0.947
1692306540,+3.52,+30.619, +7.267,+0.946
1692306840,+3.52,+30.628, +7.258,+0.946
1692307140,+3.52,+30.524, +7.267,+0.947
1692307440,+3.52,+30.386, +7.265,+0.946
1692307740,+3.52,+30.109, +7.312,+0.947
1692308040,+3.52,+29.523, +7.405,+0.946
1692308340,+3.53,+28.785, +7.461,+0.947
1692308640,+3.53,+27.965, +7.577,+0.948
1692308940,+3.52,+27.335, +7.671,+0.948
1692309240,+3.53,+26.826, +7.733,+0.948
1692309540,+3.52,+26.453, +7.765,+0.947
1692309840,+3.53,+26.106, +7.824,+0.948
1692310140,+3.53,+25.794, +7.866,+0.948
1692310440,+3.53,+25.524, +7.893,+0.948
1692310740,+3.53,+25.246, +7.930,+0.948
1692311040,+3.53,+24.985, +7.966,+0.948
