7450-325834
OS REV: 1.05 Sensor Cal: 1678992891
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268080,+3.53,+20.786, +0.078,+0.944
1692268380,+3.53,+20.786, +0.078,+0.944
1692268680,+3.53,+20.820, +0.265,+0.948
1692268980,+3.52,+20.987, +0.553,+0.950
1692269280,+3.52,+21.113, +1.167,+0.953
1692269580,+3.53,+21.490, +1.453,+0.957
1692269880,+3.53,+21.791, +1.550,+0.957
1692270180,+3.52,+22.151, +1.698,+0.957
1692270480,+3.53,+22.461, +1.730,+0.956
1692270780,+3.53,+22.712, +1.622,+0.955
1692271080,+3.52,+23.030, +1.829,+0.955
1692271380,+3.53,+23.365, +2.167,+0.955
1692271680,+3.53,+23.617, +2.202,+0.955
1692271980,+3.52,+23.802, +2.395,+0.953
1692272280,+3.52,+23.953, +2.481,+0.954
1692272580,+3.52,+24.095, +2.815,+0.954
1692272880,+3.52,+24.255, +3.005,+0.955
1692273180,+3.52,+24.347, +2.647,+0.954
1692273480,+3.52,+24.364, +2.694,+0.954
1692273780,+3.52,+24.398, +2.762,+0.954
1692274080,+3.53,+24.499, +2.578,+0.954
1692274380,+3.52,+24.667, +2.555,+0.954
1692274680,+3.52,+24.701, +2.570,+0.954
1692274980,+3.52,+24.726, +2.579,+0.953
1692275280,+3.52,+24.717, +2.564,+0.953
1692275580,+3.52,+24.751, +2.633,+0.954
1692275880,+3.52,+24.835, +3.072,+0.954
1692276180,+3.52,+24.919, +2.941,+0.954
1692276480,+3.52,+25.063, +3.000,+0.954
1692276780,+3.52,+25.147, +2.794,+0.954
1692277080,+3.52,+25.223, +2.829,+0.954
1692277380,+3.52,+25.332, +2.884,+0.954
1692277680,+3.52,+25.678, +2.888,+0.954
1692277980,+3.52,+26.160, +2.745,+0.953
1692278280,+3.52,+26.405, +2.976,+0.952
1692278580,+3.52,+26.608, +3.421,+0.951
1692278880,+3.52,+26.973, +3.874,+0.950
1692279180,+3.51,+27.551, +3.397,+0.951
1692279480,+3.52,+28.037, +3.272,+0.950
1692279780,+3.52,+28.799, +3.807,+0.950
1692280080,+3.51,+30.548, +2.781,+0.948
1692280380,+3.51,+31.941, +3.195,+0.945
1692280680,+3.51,+34.777, +2.841,+0.938
1692280980,+3.50,+36.510, +2.632,+0.930
1692281280,+3.50,+36.510, +2.908,+0.931
1692281580,+3.50,+36.510, +3.165,+0.934
1692281880,+3.50,+36.519, +3.186,+0.936
1692282180,+3.50,+36.519, +3.444,+0.936
1692282480,+3.50,+36.510, +3.595,+0.937
1692282780,+3.50,+36.519, +3.570,+0.937
1692283080,+3.51,+36.519, +3.521,+0.936
1692283380,+3.51,+36.501, +3.433,+0.933
1692283680,+3.51,+36.510, +3.378,+0.925
1692283980,+3.51,+36.519, +3.532,+0.925
1692284280,+3.51,+36.519, +3.563,+0.924
1692284580,+3.52,+32.942, +5.701,+0.943
1692284880,+3.52,+30.713, +5.522,+0.950
1692285180,+3.52,+30.392, +3.703,+0.946
1692285480,+3.52,+30.245, +6.100,+0.953
1692285780,+3.52,+30.271, +5.892,+0.953
1692286080,+3.52,+30.245, +5.926,+0.953
1692286380,+3.52,+30.280, +6.239,+0.953
1692286680,+3.52,+30.297, +6.542,+0.953
1692286980,+3.52,+30.315, +6.762,+0.953
1692287280,+3.52,+30.315, +6.808,+0.953
1692287580,+3.52,+30.245, +6.437,+0.953
1692287880,+3.52,+30.280, +6.596,+0.953
1692288180,+3.52,+30.340, +7.078,+0.953
1692288480,+3.52,+30.392, +7.386,+0.953
1692288780,+3.52,+30.384, +7.393,+0.953
1692289080,+3.52,+30.401, +7.477,+0.953
1692289380,+3.52,+30.410, +7.631,+0.954
1692289680,+3.52,+30.392, +7.680,+0.953
1692289980,+3.52,+30.392, +7.804,+0.953
1692290280,+3.52,+30.392, +7.897,+0.953
1692290580,+3.52,+30.401, +8.042,+0.954
1692290880,+3.52,+30.410, +8.071,+0.954
1692291180,+3.52,+30.427, +8.029,+0.953
1692291480,+3.52,+30.488, +7.830,+0.954
1692291780,+3.52,+30.479, +7.746,+0.953
1692292080,+3.52,+30.462, +7.724,+0.953
1692292380,+3.52,+30.488, +7.881,+0.953
1692292680,+3.52,+30.505, +7.881,+0.953
1692292980,+3.52,+30.488, +7.814,+0.953
1692293280,+3.52,+30.462, +7.868,+0.954
1692293580,+3.52,+30.470, +7.892,+0.953
1692293880,+3.52,+30.462, +7.820,+0.954
1692294180,+3.52,+30.410, +7.571,+0.953
1692294480,+3.52,+30.479, +7.530,+0.953
1692294780,+3.52,+30.566, +7.847,+0.953
1692295080,+3.52,+30.592, +8.086,+0.953
1692295380,+3.52,+30.618, +8.366,+0.953
1692295680,+3.52,+30.626, +8.607,+0.953
