7450-334927
OS REV: 1.05 Sensor Cal: 1679088857
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268080,+3.53,+20.741, +8.150,+0.955
1692268380,+3.53,+20.733, +8.148,+0.955
1692268680,+3.53,+20.767, +8.135,+0.955
1692268980,+3.53,+20.867, +8.118,+0.955
1692269280,+3.53,+21.017, +8.094,+0.956
1692269580,+3.54,+21.218, +8.053,+0.955
1692269880,+3.53,+21.460, +8.015,+0.955
1692270180,+3.53,+21.761, +7.976,+0.956
1692270480,+3.53,+22.112, +7.892,+0.955
1692270780,+3.53,+22.397, +7.859,+0.956
1692271080,+3.53,+22.681, +7.795,+0.955
1692271380,+3.53,+22.982, +7.744,+0.955
1692271680,+3.53,+23.275, +7.700,+0.955
1692271980,+3.53,+23.510, +7.668,+0.956
1692272280,+3.53,+23.686, +7.632,+0.955
1692272580,+3.53,+23.912, +7.616,+0.956
1692272880,+3.53,+24.097, +7.562,+0.956
1692273180,+3.53,+24.197, +7.528,+0.955
1692273480,+3.53,+24.265, +7.520,+0.956
1692273780,+3.53,+24.323, +7.536,+0.956
1692274080,+3.53,+24.432, +7.515,+0.956
1692274380,+3.53,+24.575, +7.592,+0.956
1692274680,+3.53,+24.685, +7.559,+0.955
1692274980,+3.53,+24.718, +7.580,+0.956
1692275280,+3.53,+24.785, +7.565,+0.956
1692275580,+3.53,+24.853, +7.545,+0.956
1692275880,+3.53,+24.970, +7.539,+0.956
1692276180,+3.53,+25.012, +7.565,+0.956
1692276480,+3.53,+25.147, +7.557,+0.956
1692276780,+3.52,+25.189, +7.555,+0.956
1692277080,+3.52,+25.240, +7.537,+0.956
1692277380,+3.52,+25.358, +7.510,+0.955
1692277680,+3.53,+25.653, +7.480,+0.956
1692277980,+3.53,+26.024, +7.417,+0.956
1692278280,+3.52,+28.121, +4.699,+0.955
1692278580,+3.52,+28.522, +4.676,+0.955
1692278880,+3.52,+28.591, +4.664,+0.955
1692279180,+3.52,+28.685, +4.658,+0.955
1692279480,+3.53,+28.719, +4.652,+0.955
1692279780,+3.53,+28.737, +4.649,+0.955
1692280080,+3.53,+28.796, +4.631,+0.955
1692280380,+3.53,+28.814, +4.627,+0.955
1692280680,+3.53,+28.822, +4.620,+0.955
1692280980,+3.53,+28.831, +4.598,+0.954
1692281280,+3.52,+28.839, +4.594,+0.955
1692281580,+3.53,+28.874, +4.577,+0.955
1692281880,+3.53,+28.882, +4.565,+0.955
1692282180,+3.52,+28.874, +4.555,+0.955
1692282480,+3.53,+28.925, +4.555,+0.955
1692282780,+3.53,+28.959, +4.560,+0.954
1692283080,+3.53,+28.959, +4.543,+0.955
1692283380,+3.53,+29.028, +4.532,+0.955
