7450-269898
OS REV: 1.05 Sensor Cal: 1678994772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268020,+3.53,+20.640, +7.242,+0.955
1692268320,+3.53,+20.640, +7.208,+0.955
1692268620,+3.53,+20.715, +6.042,+0.941
1692268920,+3.53,+20.974, +6.713,+0.952
1692269220,+3.53,+21.325, +6.725,+0.952
1692269520,+3.53,+21.735, +6.408,+0.921
1692269820,+3.53,+22.203, +7.010,+0.929
1692270120,+3.53,+22.621, +6.392,+0.923
1692270420,+3.52,+23.048, +6.362,+0.925
1692270720,+3.53,+23.307, +6.339,+0.925
1692271020,+3.53,+23.566, +6.382,+0.926
1692271320,+3.52,+23.885, +6.429,+0.927
1692271620,+3.52,+24.094, +6.481,+0.928
1692271920,+3.52,+24.203, +6.500,+0.928
1692272220,+3.52,+24.245, +6.516,+0.929
1692272520,+3.53,+24.405, +6.529,+0.930
1692272820,+3.53,+24.573, +6.490,+0.929
1692273120,+3.53,+24.589, +6.546,+0.930
1692273420,+3.53,+24.522, +6.492,+0.929
1692273720,+3.53,+24.472, +6.685,+0.931
1692274020,+3.53,+24.564, +6.627,+0.931
1692274320,+3.52,+24.791, +6.591,+0.936
1692274620,+3.52,+24.883, +6.666,+0.937
1692274920,+3.52,+24.833, +6.561,+0.937
1692275220,+3.52,+24.867, +6.520,+0.936
1692275520,+3.52,+24.909, +6.459,+0.936
1692275820,+3.52,+24.993, +6.652,+0.938
1692276120,+3.52,+25.051, +6.526,+0.937
1692276420,+3.52,+25.228, +6.715,+0.938
1692276720,+3.52,+25.329, +6.563,+0.938
1692277020,+3.52,+25.329, +6.663,+0.939
1692277320,+3.52,+25.413, +6.679,+0.938
1692277620,+3.52,+25.700, +6.658,+0.939
1692277920,+3.52,+26.231, +6.505,+0.939
1692278220,+3.52,+26.527, +6.465,+0.938
1692278520,+3.52,+26.781, +6.466,+0.938
1692278820,+3.52,+27.137, +6.443,+0.939
1692279120,+3.52,+27.809, +6.154,+0.938
1692279420,+3.51,+28.508, +5.897,+0.937
1692279720,+3.52,+29.168, +6.054,+0.939
1692280020,+3.51,+29.546, +5.025,+0.938
1692280320,+3.52,+29.005, +5.172,+0.803
1692280620,+3.52,+28.954, +5.188,+0.805
1692280920,+3.52,+28.979, +5.071,+0.969
1692281220,+3.52,+29.048, +5.046,+0.968
1692281520,+3.52,+29.168, +5.065,+0.970
1692281820,+3.52,+29.160, +5.025,+0.969
1692282120,+3.52,+29.151, +4.990,+0.969
1692282420,+3.52,+29.168, +4.949,+0.969
1692282720,+3.52,+29.228, +4.871,+0.969
1692283020,+3.52,+29.280, +4.800,+0.969
