7450-249209
OS REV: 1.05 Sensor Cal: 1678994209
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692267960,+3.53,+20.596, +0.087,+0.938
1692268260,+3.53,+20.579, +0.087,+0.938
1692268560,+3.53,+20.604, +0.088,+0.937
1692268860,+3.53,+20.746, +0.088,+0.937
1692269160,+3.53,+20.972, +0.089,+0.937
1692269460,+3.53,+21.340, +0.090,+0.937
1692269760,+3.53,+21.766, +0.092,+0.937
1692270060,+3.53,+22.092, +0.092,+0.937
1692270360,+3.53,+22.368, +0.092,+0.937
1692270660,+3.53,+22.485, +0.091,+0.937
1692270960,+3.53,+22.618, +0.091,+0.937
1692271260,+3.53,+22.752, +0.092,+0.937
1692271560,+3.53,+22.869, +0.092,+0.937
1692271860,+3.52,+22.986, +0.092,+0.937
1692272160,+3.52,+23.087, +0.092,+0.936
1692272460,+3.53,+23.212, +0.093,+0.937
1692272760,+3.53,+23.338, +0.093,+0.936
1692273060,+3.53,+23.413, +0.092,+0.937
1692273360,+3.53,+23.488, +0.093,+0.937
1692273660,+3.53,+23.513, +0.092,+0.937
1692273960,+3.53,+23.539, +0.093,+0.937
1692274260,+3.53,+23.606, +0.093,+0.937
1692274560,+3.53,+23.681, +0.093,+0.937
1692274860,+3.53,+23.781, +0.093,+0.937
1692275160,+3.53,+23.874, +0.093,+0.937
1692275460,+3.52,+23.949, +0.093,+0.941
1692275760,+3.52,+24.108, +0.094,+0.941
1692276060,+3.53,+24.360, +8.224,+0.963
1692276360,+3.53,+24.620, +8.180,+0.964
1692276660,+3.53,+24.822, +8.327,+0.963
1692276960,+3.52,+27.143, +3.281,+0.959
1692277260,+3.52,+28.292, +2.382,+0.959
1692277560,+3.52,+28.719, +2.727,+0.958
1692277860,+3.52,+28.865, +3.105,+0.958
1692278160,+3.52,+28.822, +3.260,+0.958
1692278460,+3.52,+28.882, +3.556,+0.958
1692278760,+3.52,+28.976, +3.965,+0.958
1692279060,+3.52,+29.036, +4.643,+0.958
1692279360,+3.52,+28.993, +5.317,+0.958
1692279660,+3.52,+28.985, +5.560,+0.959
1692279960,+3.52,+29.096, +5.723,+0.959
1692280260,+3.52,+29.079, +5.603,+0.960
1692280560,+3.52,+29.311, +5.895,+0.960
1692280860,+3.52,+29.423, +6.004,+0.960
1692281160,+3.52,+29.389, +6.178,+0.960
1692281460,+3.52,+29.466, +6.422,+0.961
1692281760,+3.52,+29.604, +6.788,+0.961
1692282060,+3.52,+29.698, +6.872,+0.960
1692282360,+3.52,+29.819, +7.171,+0.961
