7450-137738
OS REV: 1.05 Sensor Cal: 1679088645
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697921580,+3.52,+22.169, +6.586,+0.912
1697921880,+3.52,+22.177, +6.580,+0.912
1697922180,+3.52,+22.161, +6.587,+0.912
1697922480,+3.52,+22.161, +6.582,+0.912
1697922780,+3.52,+22.161, +6.580,+0.912
1697923080,+3.52,+22.161, +6.578,+0.912
1697923380,+3.52,+22.127, +6.579,+0.912
1697923680,+3.52,+22.136, +6.578,+0.912
1697923980,+3.52,+22.144, +6.566,+0.912
1697924280,+3.52,+22.136, +6.567,+0.912
1697924580,+3.52,+22.136, +6.569,+0.912
1697924880,+3.52,+22.127, +6.561,+0.912
1697925180,+3.52,+22.102, +6.564,+0.912
1697925480,+3.52,+22.094, +6.572,+0.912
1697925780,+3.52,+22.077, +6.559,+0.911
1697926080,+3.52,+22.085, +6.560,+0.912
1697926380,+3.52,+22.069, +6.565,+0.912
1697926680,+3.52,+22.052, +6.563,+0.912
1697926980,+3.52,+22.052, +6.559,+0.912
1697927280,+3.52,+22.044, +6.559,+0.912
1697927580,+3.52,+22.035, +6.556,+0.912
1697927880,+3.52,+22.019, +6.565,+0.912
1697928180,+3.52,+22.002, +6.563,+0.912
1697928480,+3.52,+22.019, +6.549,+0.912
1697928780,+3.52,+22.010, +6.554,+0.912
1697929080,+3.52,+21.993, +6.560,+0.912
1697929380,+3.52,+21.985, +6.555,+0.912
1697929680,+3.52,+21.977, +6.552,+0.912
1697929980,+3.52,+21.968, +6.548,+0.912
1697930280,+3.52,+21.960, +6.551,+0.912
1697930580,+3.52,+21.960, +6.543,+0.912
1697930880,+3.52,+21.935, +6.541,+0.911
1697931180,+3.52,+21.943, +6.544,+0.912
1697931480,+3.52,+21.960, +6.535,+0.912
1697931780,+3.52,+21.927, +6.536,+0.912
1697932080,+3.52,+21.927, +6.545,+0.912
1697932380,+3.52,+21.918, +6.544,+0.912
1697932680,+3.52,+21.918, +6.543,+0.913
1697932980,+3.52,+21.927, +6.529,+0.912
1697933280,+3.52,+21.901, +6.534,+0.912
1697933580,+3.52,+21.901, +6.530,+0.912
1697933880,+3.52,+21.901, +6.527,+0.912
1697934180,+3.52,+21.901, +6.529,+0.912
1697934480,+3.52,+21.876, +6.526,+0.912
1697934780,+3.52,+21.876, +6.519,+0.912
1697935080,+3.52,+21.860, +6.519,+0.912
1697935380,+3.52,+21.860, +6.527,+0.912
1697935680,+3.52,+21.851, +6.521,+0.912
1697935980,+3.52,+21.851, +6.522,+0.912
1697936280,+3.52,+21.843, +6.515,+0.912
1697936580,+3.52,+21.851, +6.512,+0.912
1697936880,+3.52,+21.818, +6.520,+0.912
1697937180,+3.52,+21.843, +6.515,+0.912
1697937480,+3.52,+21.835, +6.513,+0.912
1697937780,+3.52,+21.826, +6.501,+0.912
1697938080,+3.52,+21.826, +6.495,+0.912
1697938380,+3.52,+21.809, +6.510,+0.912
1697938680,+3.52,+21.826, +6.504,+0.912
1697938980,+3.52,+21.818, +6.504,+0.912
1697939280,+3.52,+21.818, +6.497,+0.912
1697939580,+3.52,+21.809, +6.498,+0.912
1697939880,+3.52,+21.776, +6.496,+0.912
1697940180,+3.52,+21.793, +6.495,+0.912
1697940480,+3.52,+21.793, +6.487,+0.912
1697940780,+3.52,+21.776, +6.493,+0.912
1697941080,+3.52,+21.776, +6.487,+0.912
1697941380,+3.52,+21.759, +6.491,+0.912
1697941680,+3.52,+21.768, +6.486,+0.912
1697941980,+3.52,+21.768, +6.489,+0.913
1697942280,+3.52,+21.768, +6.475,+0.912
1697942580,+3.52,+21.759, +6.476,+0.912
1697942880,+3.52,+21.751, +6.476,+0.912
1697943180,+3.52,+21.759, +6.475,+0.912
1697943480,+3.52,+21.743, +6.470,+0.912
1697943780,+3.52,+21.743, +6.466,+0.912
1697944080,+3.52,+21.743, +6.460,+0.912
