7450-458163
OS REV: 1.05 Sensor Cal: 1679088563
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697747940,+3.51,+21.653, +8.328,+0.935
1697748240,+3.51,+21.736, +8.321,+0.935
1697748540,+3.51,+21.862, +8.285,+0.935
1697748840,+3.51,+21.971, +8.277,+0.936
1697749140,+3.51,+22.063, +8.256,+0.935
1697749440,+3.51,+22.155, +8.249,+0.936
1697749740,+3.51,+22.247, +8.222,+0.935
1697750040,+3.51,+22.322, +8.214,+0.935
1697750340,+3.51,+22.422, +8.191,+0.935
1697750640,+3.51,+22.497, +8.180,+0.935
1697750940,+3.51,+22.581, +8.164,+0.935
1697751240,+3.51,+22.656, +8.148,+0.935
1697751540,+3.51,+22.723, +8.148,+0.936
1697751840,+3.51,+22.773, +8.126,+0.935
1697752140,+3.51,+22.824, +8.123,+0.935
1697752440,+3.51,+22.916, +8.108,+0.936
1697752740,+3.51,+22.949, +8.097,+0.935
1697753040,+3.51,+22.999, +8.076,+0.935
1697753340,+3.51,+23.050, +8.078,+0.935
1697753640,+3.51,+23.108, +8.064,+0.935
1697753940,+3.51,+23.150, +8.058,+0.936
1697754240,+3.51,+23.167, +8.055,+0.935
1697754540,+3.51,+23.209, +8.047,+0.935
1697754840,+3.51,+23.259, +8.040,+0.936
1697755140,+3.51,+23.267, +8.031,+0.936
1697755440,+3.51,+23.301, +8.029,+0.936
1697755740,+3.51,+23.292, +8.023,+0.935
1697756040,+3.51,+23.309, +8.015,+0.935
1697756340,+3.51,+23.284, +8.026,+0.936
1697756640,+3.51,+23.292, +8.012,+0.935
1697756940,+3.51,+23.259, +8.030,+0.936
1697757240,+3.51,+23.234, +8.025,+0.935
1697757540,+3.51,+23.209, +8.025,+0.936
1697757840,+3.51,+23.167, +8.025,+0.935
1697758140,+3.51,+23.133, +8.030,+0.935
1697758440,+3.51,+23.091, +8.035,+0.936
1697758740,+3.51,+23.050, +8.045,+0.936
1697759040,+3.51,+23.025, +8.039,+0.936
1697759340,+3.52,+22.932, +8.064,+0.936
1697759640,+3.52,+22.891, +8.052,+0.936
1697759940,+3.52,+22.815, +8.068,+0.936
1697760240,+3.52,+22.748, +8.075,+0.936
1697760540,+3.52,+22.673, +8.087,+0.936
1697760840,+3.52,+22.615, +8.085,+0.936
1697761140,+3.52,+22.556, +8.087,+0.935
1697761440,+3.52,+22.464, +8.100,+0.935
1697761740,+3.52,+22.397, +8.106,+0.935
1697762040,+3.52,+22.313, +8.112,+0.935
1697762340,+3.52,+22.255, +8.122,+0.935
1697762640,+3.52,+22.155, +8.139,+0.936
1697762940,+3.52,+22.088, +8.142,+0.936
1697763240,+3.52,+21.987, +8.157,+0.936
1697763540,+3.52,+21.887, +8.166,+0.935
1697763840,+3.52,+21.803, +8.189,+0.936
1697764140,+3.52,+21.728, +8.185,+0.935
1697764440,+3.52,+21.636, +8.203,+0.936
1697764740,+3.52,+21.544, +8.213,+0.936
1697765040,+3.52,+21.460, +8.222,+0.936
1697765340,+3.52,+21.385, +8.226,+0.935
1697765640,+3.52,+21.276, +8.249,+0.936
1697765940,+3.52,+21.201, +8.259,+0.936
1697766240,+3.52,+21.109, +8.271,+0.936
1697766540,+3.52,+21.017, +8.269,+0.935
1697766840,+3.52,+20.925, +8.296,+0.936
1697767140,+3.52,+20.841, +8.300,+0.935
1697767440,+3.52,+20.766, +8.308,+0.936
1697767740,+3.52,+20.666, +8.331,+0.936
1697768040,+3.52,+20.574, +8.327,+0.935
1697768340,+3.52,+20.515, +8.337,+0.935
1697768640,+3.52,+20.440, +8.353,+0.935
1697768940,+3.52,+20.356, +8.366,+0.936
1697769240,+3.53,+20.297, +8.370,+0.936
1697769540,+3.53,+20.230, +8.384,+0.936
1697769840,+3.52,+20.147, +8.393,+0.936
1697770140,+3.52,+20.063, +8.395,+0.935
1697770440,+3.52,+20.012, +8.403,+0.935
1697770740,+3.52,+19.937, +8.418,+0.936
1697771040,+3.52,+19.887, +8.421,+0.936
1697771340,+3.52,+19.820, +8.428,+0.936
1697771640,+3.52,+19.761, +8.436,+0.936
1697771940,+3.52,+19.686, +8.442,+0.936
1697772240,+3.52,+19.635, +8.453,+0.936
1697772540,+3.52,+19.593, +8.448,+0.935
1697772840,+3.53,+19.535, +8.468,+0.936
1697773140,+3.52,+19.467, +8.483,+0.936
1697773440,+3.53,+19.417, +8.482,+0.936
1697773740,+3.53,+19.375, +8.477,+0.935
1697774040,+3.53,+19.333, +8.487,+0.936
1697774340,+3.53,+19.283, +8.490,+0.936
1697774640,+3.53,+19.216, +8.493,+0.935
1697774940,+3.53,+19.174, +8.504,+0.936
1697775240,+3.53,+19.132, +8.509,+0.936
1697775540,+3.53,+19.073, +8.521,+0.936
1697775840,+3.52,+19.014, +8.523,+0.936
1697776140,+3.52,+18.980, +8.523,+0.935
1697776440,+3.52,+18.930, +8.533,+0.936
1697776740,+3.52,+18.896, +8.533,+0.936
1697777040,+3.52,+18.846, +8.538,+0.935
1697777340,+3.52,+18.821, +8.535,+0.935
1697777640,+3.52,+18.778, +8.544,+0.935
1697777940,+3.52,+18.736, +8.554,+0.936
1697778240,+3.52,+18.686, +8.544,+0.935
1697778540,+3.52,+18.652, +8.552,+0.935
1697778840,+3.52,+18.619, +8.564,+0.936
1697779140,+3.53,+18.551, +8.577,+0.936
1697779440,+3.52,+18.543, +8.568,+0.935
1697779740,+3.53,+18.509, +8.579,+0.936
1697780040,+3.53,+18.459, +8.578,+0.935
1697780340,+3.53,+18.433, +8.581,+0.935
1697780640,+3.53,+18.400, +8.587,+0.935
1697780940,+3.53,+18.366, +8.588,+0.936
1697781240,+3.53,+18.324, +8.594,+0.935
1697781540,+3.53,+18.282, +8.602,+0.936
1697781840,+3.53,+18.240, +8.607,+0.936
1697782140,+3.53,+18.206, +8.601,+0.935
1697782440,+3.53,+18.164, +8.614,+0.936
1697782740,+3.53,+18.105, +8.625,+0.936
1697783040,+3.53,+18.088, +8.627,+0.936
1697783340,+3.53,+18.046, +8.617,+0.935
1697783640,+3.53,+17.986, +8.638,+0.936
1697783940,+3.53,+17.953, +8.640,+0.936
1697784240,+3.52,+17.919, +8.636,+0.935
1697784540,+3.52,+17.877, +8.643,+0.935
1697784840,+3.52,+17.818, +8.654,+0.936
1697785140,+3.52,+17.767, +8.662,+0.935
1697785440,+3.52,+17.741, +8.668,+0.936
1697785740,+3.52,+17.691, +8.662,+0.935
1697786040,+3.52,+17.648, +8.670,+0.935
1697786340,+3.52,+17.589, +8.678,+0.935
1697786640,+3.52,+17.555, +8.685,+0.936
1697786940,+3.53,+17.496, +8.689,+0.935
1697787240,+3.53,+17.462, +8.693,+0.936
1697787540,+3.53,+17.395, +8.705,+0.935
1697787840,+3.53,+17.361, +8.713,+0.936
1697788140,+3.53,+17.301, +8.717,+0.935
1697788440,+3.53,+17.251, +8.734,+0.936
1697788740,+3.53,+17.200, +8.732,+0.936
1697789040,+3.53,+17.140, +8.740,+0.935
1697789340,+3.53,+17.106, +8.747,+0.936
1697789640,+3.53,+17.047, +8.761,+0.936
1697789940,+3.53,+16.996, +8.767,+0.936
1697790240,+3.53,+16.945, +8.772,+0.936
1697790540,+3.53,+16.894, +8.772,+0.935
1697790840,+3.52,+16.860, +8.781,+0.936
1697791140,+3.52,+16.784, +8.789,+0.935
1697791440,+3.52,+16.741, +8.802,+0.936
1697791740,+3.52,+16.690, +8.808,+0.936
1697792040,+3.52,+16.639, +8.820,+0.936
1697792340,+3.52,+16.605, +8.818,+0.936
1697792640,+3.52,+16.563, +8.822,+0.936
1697792940,+3.52,+16.503, +8.831,+0.936
1697793240,+3.52,+16.443, +8.846,+0.936
1697793540,+3.53,+16.392, +8.850,+0.936
1697793840,+3.53,+16.358, +8.858,+0.936
1697794140,+3.53,+16.315, +8.859,+0.936
1697794440,+3.53,+16.264, +8.861,+0.935
1697794740,+3.53,+16.230, +8.875,+0.936
1697795040,+3.53,+16.170, +8.880,+0.936
1697795340,+3.53,+16.128, +8.888,+0.936
1697795640,+3.53,+16.102, +8.888,+0.936
1697795940,+3.53,+16.051, +8.905,+0.936
1697796240,+3.53,+16.017, +8.897,+0.935
1697796540,+3.53,+15.957, +8.913,+0.936
1697796840,+3.53,+15.923, +8.917,+0.936
1697797140,+3.53,+15.871, +8.926,+0.936
1697797440,+3.53,+15.837, +8.938,+0.936
1697797740,+3.53,+15.803, +8.932,+0.936
1697798040,+3.52,+15.768, +8.944,+0.936
1697798340,+3.52,+15.726, +8.949,+0.936
1697798640,+3.52,+15.666, +8.958,+0.936
1697798940,+3.52,+15.623, +8.956,+0.935
1697799240,+3.52,+15.606, +8.969,+0.936
1697799540,+3.52,+15.563, +8.975,+0.936
1697799840,+3.52,+15.503, +8.994,+0.936
1697800140,+3.52,+15.494, +8.985,+0.936
1697800440,+3.52,+15.451, +8.976,+0.935
1697800740,+3.52,+15.417, +8.993,+0.936
1697801040,+3.52,+15.391, +8.982,+0.935
1697801340,+3.52,+15.339, +9.005,+0.936
1697801640,+3.53,+15.296, +9.006,+0.936
1697801940,+3.53,+15.279, +9.000,+0.935
1697802240,+3.53,+15.236, +9.020,+0.936
1697802540,+3.53,+15.202, +9.021,+0.936
1697802840,+3.53,+15.159, +9.032,+0.936
1697803140,+3.53,+15.142, +9.032,+0.936
1697803440,+3.53,+15.090, +9.045,+0.936
1697803740,+3.53,+15.081, +9.031,+0.936
1697804040,+3.53,+15.047, +9.047,+0.936
1697804340,+3.53,+15.004, +9.047,+0.936
1697804640,+3.53,+14.986, +9.053,+0.936
1697804940,+3.53,+14.935, +9.065,+0.936
1697805240,+3.53,+14.926, +9.058,+0.936
1697805540,+3.53,+14.866, +9.073,+0.936
1697805840,+3.53,+14.848, +9.066,+0.935
1697806140,+3.53,+14.831, +9.065,+0.935
1697806440,+3.53,+14.805, +9.075,+0.936
1697806740,+3.53,+14.779, +9.084,+0.936
1697807040,+3.53,+14.762, +9.075,+0.936
1697807340,+3.53,+14.736, +9.086,+0.936
1697807640,+3.53,+14.736, +9.084,+0.936
1697807940,+3.53,+14.728, +9.082,+0.936
1697808240,+3.52,+14.710, +9.079,+0.936
1697808540,+3.52,+14.684, +9.101,+0.936
1697808840,+3.52,+14.684, +9.082,+0.936
1697809140,+3.52,+14.676, +9.088,+0.936
