7450-471033
OS REV: 1.05 Sensor Cal: 1679088763
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697973120,+3.53,+21.574, +5.274,+0.897
1697973420,+3.53,+21.557, +5.274,+0.897
1697973720,+3.53,+21.574, +5.267,+0.897
1697974020,+3.53,+21.574, +5.261,+0.897
1697974320,+3.53,+21.565, +5.265,+0.898
1697974620,+3.53,+21.549, +5.261,+0.897
1697974920,+3.53,+21.557, +5.255,+0.897
1697975220,+3.53,+21.557, +5.258,+0.898
1697975520,+3.53,+21.540, +5.249,+0.897
1697975820,+3.53,+21.532, +5.252,+0.897
1697976120,+3.53,+21.549, +5.249,+0.897
1697976420,+3.53,+21.565, +5.241,+0.897
1697976720,+3.53,+21.532, +5.246,+0.897
1697977020,+3.53,+21.565, +5.238,+0.897
1697977320,+3.53,+21.549, +5.229,+0.897
1697977620,+3.53,+21.549, +5.238,+0.897
1697977920,+3.53,+21.557, +5.228,+0.897
1697978220,+3.53,+21.565, +5.224,+0.897
1697978520,+3.53,+21.532, +5.225,+0.897
1697978820,+3.53,+21.565, +5.217,+0.897
1697979120,+3.53,+21.565, +5.211,+0.897
1697979420,+3.53,+21.557, +5.212,+0.897
1697979720,+3.53,+21.574, +5.210,+0.897
1697980020,+3.53,+21.582, +5.206,+0.897
1697980320,+3.53,+21.590, +5.196,+0.897
1697980620,+3.53,+21.590, +5.200,+0.897
1697980920,+3.53,+21.616, +5.197,+0.897
1697981220,+3.52,+21.624, +5.193,+0.897
1697981520,+3.53,+21.632, +5.189,+0.897
1697981820,+3.52,+21.649, +5.179,+0.897
1697982120,+3.53,+21.649, +5.178,+0.897
1697982420,+3.52,+21.649, +5.175,+0.897
1697982720,+3.52,+21.666, +5.171,+0.897
1697983020,+3.52,+21.674, +5.170,+0.897
1697983320,+3.52,+21.682, +5.159,+0.897
1697983620,+3.52,+21.699, +5.161,+0.897
1697983920,+3.52,+21.707, +5.153,+0.897
1697984220,+3.52,+21.724, +5.145,+0.897
1697984520,+3.52,+21.733, +5.140,+0.896
1697984820,+3.52,+21.741, +5.138,+0.897
1697985120,+3.52,+21.749, +5.133,+0.897
1697985420,+3.52,+21.766, +5.126,+0.897
1697985720,+3.52,+21.766, +5.127,+0.897
1697986020,+3.52,+21.774, +5.127,+0.897
1697986320,+3.52,+21.791, +5.122,+0.897
1697986620,+3.52,+21.783, +5.109,+0.896
1697986920,+3.52,+21.799, +5.112,+0.897
1697987220,+3.52,+21.799, +5.108,+0.897
1697987520,+3.52,+21.799, +5.108,+0.897
1697987820,+3.52,+21.816, +5.096,+0.897
1697988120,+3.52,+21.816, +5.096,+0.897
1697988420,+3.52,+21.824, +5.092,+0.897
1697988720,+3.52,+21.824, +5.087,+0.897
1697989020,+3.52,+21.816, +5.090,+0.897
1697989320,+3.52,+21.799, +5.087,+0.897
1697989620,+3.52,+21.833, +5.077,+0.897
1697989920,+3.52,+21.833, +5.070,+0.897
1697990220,+3.52,+21.833, +5.069,+0.897
1697990520,+3.52,+21.841, +5.068,+0.897
1697990820,+3.52,+21.833, +5.066,+0.897
1697991120,+3.52,+21.841, +5.062,+0.897
1697991420,+3.52,+21.849, +5.052,+0.897
1697991720,+3.52,+21.849, +5.050,+0.897
1697992020,+3.52,+21.858, +5.052,+0.897
1697992320,+3.52,+21.849, +5.043,+0.897
1697992620,+3.52,+21.875, +5.040,+0.897
1697992920,+3.52,+21.866, +5.039,+0.897
1697993220,+3.52,+21.875, +5.031,+0.897
1697993520,+3.52,+21.866, +5.027,+0.897
1697993820,+3.52,+21.858, +5.026,+0.897
1697994120,+3.52,+21.849, +5.026,+0.897
1697994420,+3.52,+21.883, +5.021,+0.897
1697994720,+3.52,+21.875, +5.018,+0.897
1697995020,+3.52,+21.883, +5.006,+0.897
1697995320,+3.52,+21.875, +5.006,+0.897
1697995620,+3.52,+21.883, +5.001,+0.897
1697995920,+3.52,+21.908, +4.996,+0.897
1697996220,+3.52,+21.891, +4.991,+0.897
1697996520,+3.52,+21.891, +4.987,+0.897
1697996820,+3.52,+21.908, +4.985,+0.897
1697997120,+3.52,+21.900, +4.985,+0.897
1697997420,+3.52,+21.916, +4.983,+0.897
1697997720,+3.52,+21.891, +4.975,+0.897
1697998020,+3.52,+21.891, +4.979,+0.897
1697998320,+3.52,+21.916, +4.970,+0.897
1697998620,+3.52,+21.916, +4.963,+0.897
1697998920,+3.52,+21.908, +4.967,+0.897
1697999220,+3.52,+21.916, +4.953,+0.896
1697999520,+3.52,+21.891, +4.959,+0.897
1697999820,+3.52,+21.916, +4.952,+0.897
1698000120,+3.52,+21.908, +4.949,+0.897
1698000420,+3.52,+21.916, +4.941,+0.897
1698000720,+3.52,+21.916, +4.941,+0.897
1698001020,+3.52,+21.933, +4.940,+0.897
1698001320,+3.52,+21.908, +4.939,+0.897
1698001620,+3.52,+21.933, +4.929,+0.897
1698001920,+3.52,+21.925, +4.925,+0.897
1698002220,+3.52,+21.925, +4.926,+0.897
1698002520,+3.52,+21.933, +4.923,+0.897
1698002820,+3.52,+21.941, +4.912,+0.897
1698003120,+3.52,+21.925, +4.915,+0.897
1698003420,+3.52,+21.941, +4.906,+0.897
1698003720,+3.52,+21.941, +4.905,+0.897
1698004020,+3.52,+21.933, +4.906,+0.897
1698004320,+3.52,+21.950, +4.894,+0.897
1698004620,+3.52,+21.941, +4.900,+0.897
1698004920,+3.52,+21.941, +4.896,+0.897
1698005220,+3.52,+21.950, +4.889,+0.897
1698005520,+3.52,+21.941, +4.883,+0.897
1698005820,+3.52,+21.966, +4.876,+0.897
1698006120,+3.52,+21.941, +4.881,+0.897
1698006420,+3.52,+21.941, +4.872,+0.896
1698006720,+3.52,+21.941, +4.875,+0.897
1698007020,+3.52,+21.966, +4.866,+0.897
1698007320,+3.52,+21.933, +4.864,+0.897
1698007620,+3.52,+21.958, +4.858,+0.897
1698007920,+3.52,+21.950, +4.859,+0.897
1698008220,+3.52,+21.933, +4.860,+0.897
1698008520,+3.52,+21.941, +4.855,+0.897
1698008820,+3.52,+21.925, +4.855,+0.897
1698009120,+3.52,+21.950, +4.848,+0.897
1698009420,+3.52,+21.925, +4.850,+0.897
1698009720,+3.52,+21.925, +4.848,+0.897
1698010020,+3.52,+21.933, +4.842,+0.897
1698010320,+3.52,+21.925, +4.842,+0.897
1698010620,+3.52,+21.925, +4.836,+0.897
1698010920,+3.52,+21.908, +4.835,+0.897
1698011220,+3.52,+21.925, +4.828,+0.897
1698011520,+3.52,+21.916, +4.823,+0.897
1698011820,+3.52,+21.916, +4.821,+0.897
1698012120,+3.52,+21.916, +4.821,+0.897
1698012420,+3.52,+21.916, +4.812,+0.897
1698012720,+3.52,+21.900, +4.811,+0.897
1698013020,+3.52,+21.875, +4.813,+0.897
1698013320,+3.52,+21.900, +4.809,+0.897
1698013620,+3.52,+21.883, +4.802,+0.897
1698013920,+3.52,+21.900, +4.803,+0.897
1698014220,+3.52,+21.866, +4.804,+0.897
1698014520,+3.52,+21.875, +4.798,+0.897
1698014820,+3.52,+21.849, +4.802,+0.897
1698015120,+3.52,+21.841, +4.799,+0.897
1698015420,+3.52,+21.858, +4.792,+0.897
1698015720,+3.52,+21.841, +4.791,+0.897
1698016020,+3.52,+21.849, +4.787,+0.897
1698016320,+3.52,+21.849, +4.777,+0.897
1698016620,+3.52,+21.816, +4.787,+0.897
1698016920,+3.52,+21.824, +4.786,+0.898
1698017220,+3.52,+21.824, +4.777,+0.897
1698017520,+3.52,+21.824, +4.773,+0.897
1698017820,+3.52,+21.816, +4.773,+0.897
1698018120,+3.52,+21.799, +4.769,+0.897
1698018420,+3.52,+21.816, +4.768,+0.897
1698018720,+3.52,+21.799, +4.764,+0.897
