7450-566774
OS REV: 1.05 Sensor Cal: 1679419749
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697973120,+3.47,+21.547, +7.345,+0.895
1697973420,+3.47,+21.547, +7.337,+0.894
1697973720,+3.47,+21.538, +7.340,+0.894
1697974020,+3.47,+21.530, +7.342,+0.895
1697974320,+3.47,+21.555, +7.343,+0.895
1697974620,+3.47,+21.555, +7.329,+0.894
1697974920,+3.47,+21.530, +7.347,+0.895
1697975220,+3.47,+21.547, +7.337,+0.895
1697975520,+3.47,+21.547, +7.338,+0.895
1697975820,+3.47,+21.538, +7.337,+0.895
1697976120,+3.47,+21.530, +7.341,+0.895
1697976420,+3.47,+21.547, +7.333,+0.895
1697976720,+3.47,+21.547, +7.327,+0.895
1697977020,+3.47,+21.538, +7.331,+0.895
1697977320,+3.47,+21.538, +7.326,+0.895
1697977620,+3.47,+21.538, +7.339,+0.895
1697977920,+3.47,+21.530, +7.328,+0.895
1697978220,+3.47,+21.530, +7.330,+0.895
1697978520,+3.47,+21.530, +7.330,+0.895
1697978820,+3.47,+21.530, +7.325,+0.895
1697979120,+3.47,+21.530, +7.324,+0.895
1697979420,+3.47,+21.530, +7.320,+0.894
1697979720,+3.47,+21.547, +7.321,+0.895
1697980020,+3.47,+21.547, +7.314,+0.894
1697980320,+3.47,+21.555, +7.313,+0.895
1697980620,+3.47,+21.564, +7.322,+0.895
1697980920,+3.47,+21.555, +7.321,+0.895
1697981220,+3.47,+21.572, +7.301,+0.894
1697981520,+3.47,+21.572, +7.300,+0.894
1697981820,+3.47,+21.564, +7.310,+0.895
1697982120,+3.47,+21.580, +7.309,+0.895
1697982420,+3.47,+21.572, +7.310,+0.895
1697982720,+3.47,+21.597, +7.299,+0.895
1697983020,+3.47,+21.580, +7.296,+0.894
1697983320,+3.47,+21.580, +7.301,+0.895
1697983620,+3.47,+21.589, +7.299,+0.895
1697983920,+3.47,+21.605, +7.298,+0.895
1697984220,+3.47,+21.622, +7.272,+0.894
1697984520,+3.47,+21.605, +7.276,+0.895
1697984820,+3.47,+21.614, +7.270,+0.895
