7450-562111
OS REV: 1.05 Sensor Cal: 1679419969
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697799780,+3.46,+15.175, +9.720,+0.921
1697800080,+3.46,+15.140, +9.724,+0.921
1697800380,+3.46,+15.115, +9.723,+0.921
1697800680,+3.46,+15.072, +9.722,+0.921
1697800980,+3.46,+15.029, +9.741,+0.921
1697801280,+3.46,+14.994, +9.753,+0.921
1697801580,+3.46,+14.960, +9.757,+0.921
1697801880,+3.47,+14.917, +9.765,+0.921
1697802180,+3.46,+14.900, +9.767,+0.921
1697802480,+3.46,+14.865, +9.768,+0.921
1697802780,+3.47,+14.839, +9.772,+0.921
1697803080,+3.47,+14.788, +9.789,+0.921
1697803380,+3.47,+14.770, +9.799,+0.921
1697803680,+3.47,+14.719, +9.810,+0.921
1697803980,+3.47,+14.684, +9.810,+0.921
1697804280,+3.46,+14.658, +9.821,+0.921
1697804580,+3.46,+14.632, +9.819,+0.921
1697804880,+3.46,+14.589, +9.830,+0.921
1697805180,+3.46,+14.563, +9.846,+0.921
1697805480,+3.46,+14.546, +9.844,+0.921
1697805780,+3.46,+14.520, +9.850,+0.922
1697806080,+3.46,+14.477, +9.856,+0.921
1697806380,+3.46,+14.477, +9.848,+0.921
1697806680,+3.46,+14.468, +9.868,+0.922
1697806980,+3.46,+14.459, +9.859,+0.921
1697807280,+3.46,+14.451, +9.864,+0.922
1697807580,+3.46,+14.442, +9.864,+0.921
1697807880,+3.46,+14.451, +9.858,+0.921
1697808180,+3.46,+14.433, +9.867,+0.921
1697808480,+3.46,+14.442, +9.870,+0.922
1697808780,+3.46,+14.442, +9.853,+0.921
1697809080,+3.46,+14.433, +9.858,+0.921
1697809380,+3.46,+14.442, +9.865,+0.921
1697809680,+3.46,+14.468, +9.844,+0.921
1697809980,+3.46,+14.477, +9.839,+0.921
1697810280,+3.46,+14.485, +9.844,+0.921
1697810580,+3.46,+14.503, +9.848,+0.922
1697810880,+3.46,+14.520, +9.832,+0.921
1697811180,+3.46,+14.529, +9.829,+0.921
1697811480,+3.46,+14.589, +9.809,+0.921
1697811780,+3.46,+14.606, +9.811,+0.921
1697812080,+3.46,+14.649, +9.799,+0.921
1697812380,+3.46,+14.693, +9.791,+0.921
1697812680,+3.46,+14.727, +9.790,+0.921
1697812980,+3.46,+14.813, +9.758,+0.921
1697813280,+3.46,+14.865, +9.746,+0.921
1697813580,+3.46,+14.934, +9.724,+0.920
1697813880,+3.46,+15.011, +9.724,+0.921
1697814180,+3.46,+15.097, +9.694,+0.920
1697814480,+3.46,+15.175, +9.685,+0.921
1697814780,+3.46,+15.278, +9.651,+0.920
1697815080,+3.46,+15.338, +9.639,+0.920
1697815380,+3.46,+15.449, +9.622,+0.920
1697815680,+3.46,+15.569, +9.587,+0.920
1697815980,+3.46,+15.698, +9.557,+0.920
1697816280,+3.46,+15.800, +9.531,+0.920
1697816580,+3.46,+15.928, +9.514,+0.920
1697816880,+3.46,+16.048, +9.479,+0.919
1697817180,+3.46,+16.167, +9.462,+0.920
1697817480,+3.46,+16.312, +9.431,+0.919
1697817780,+3.46,+16.465, +9.396,+0.920
1697818080,+3.46,+16.627, +9.362,+0.919
