7450-516531
OS REV: 1.05 Sensor Cal: 1679419607
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697192760,+3.49,+20.156, +9.015,+0.892
1697193060,+3.49,+20.140, +9.033,+0.892
1697193360,+3.49,+20.131, +9.029,+0.892
1697193660,+3.49,+20.106, +9.020,+0.891
1697193960,+3.49,+20.089, +9.040,+0.892
1697194260,+3.49,+20.073, +9.034,+0.891
1697194560,+3.49,+20.081, +9.034,+0.892
1697194860,+3.49,+20.064, +9.037,+0.892
1697195160,+3.49,+20.064, +9.034,+0.892
1697195460,+3.48,+20.039, +9.041,+0.892
1697195760,+3.49,+20.064, +9.038,+0.892
1697196060,+3.49,+20.064, +9.031,+0.892
1697196360,+3.49,+20.089, +9.030,+0.892
1697196660,+3.49,+20.098, +9.036,+0.892
1697196960,+3.49,+20.106, +9.027,+0.892
1697197260,+3.49,+20.115, +9.033,+0.892
1697197560,+3.49,+20.123, +9.030,+0.892
1697197860,+3.48,+19.997, +9.047,+0.892
1697198160,+3.48,+19.846, +9.080,+0.892
1697198460,+3.48,+19.696, +9.102,+0.891
1697198760,+3.49,+19.578, +9.131,+0.891
1697199060,+3.49,+19.461, +9.152,+0.892
1697199360,+3.49,+19.369, +9.154,+0.891
1697199660,+3.49,+19.259, +9.161,+0.891
1697199960,+3.49,+19.192, +9.180,+0.892
1697200260,+3.49,+19.100, +9.194,+0.892
1697200560,+3.49,+19.075, +9.196,+0.892
1697200860,+3.49,+18.999, +9.198,+0.892
1697201160,+3.49,+18.966, +9.201,+0.892
1697201460,+3.48,+18.940, +9.219,+0.892
1697201760,+3.48,+18.907, +9.210,+0.892
1697202060,+3.48,+18.898, +9.209,+0.893
1697202360,+3.48,+18.890, +9.206,+0.892
1697202660,+3.48,+18.907, +9.199,+0.892
1697202960,+3.48,+18.898, +9.230,+0.893
1697203260,+3.48,+18.924, +9.244,+0.893
1697203560,+3.48,+18.932, +9.234,+0.893
1697203860,+3.49,+18.957, +9.229,+0.893
1697204160,+3.49,+18.966, +9.197,+0.893
1697204460,+3.49,+18.999, +9.177,+0.893
1697204760,+3.49,+19.075, +9.158,+0.893
1697205060,+3.49,+19.075, +9.211,+0.893
1697205360,+3.49,+19.142, +9.187,+0.892
1697205660,+3.49,+19.176, +9.195,+0.893
1697205960,+3.49,+19.234, +9.149,+0.893
1697206260,+3.49,+19.293, +9.129,+0.893
1697206560,+3.49,+19.352, +9.168,+0.893
1697206860,+3.49,+19.385, +9.145,+0.892
1697207160,+3.49,+19.452, +9.130,+0.892
1697207460,+3.49,+19.503, +9.101,+0.893
1697207760,+3.48,+19.561, +9.086,+0.892
1697208060,+3.48,+19.612, +9.088,+0.892
1697208360,+3.48,+19.670, +9.093,+0.892
1697208660,+3.48,+19.721, +9.089,+0.892
1697208960,+3.48,+19.805, +9.055,+0.892
