7450-233512
OS REV: 1.05 Sensor Cal: 1678992849
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697886540,+3.50,+21.941, +7.092,+0.936
1697886840,+3.50,+21.924, +7.116,+0.937
1697887140,+3.51,+21.908, +7.136,+0.936
1697887440,+3.51,+21.924, +7.157,+0.937
1697887740,+3.51,+21.949, +7.168,+0.936
1697888040,+3.51,+21.916, +7.190,+0.936
1697888340,+3.51,+21.916, +7.216,+0.937
1697888640,+3.51,+21.924, +7.226,+0.936
1697888940,+3.51,+21.916, +7.243,+0.936
1697889240,+3.51,+21.899, +7.274,+0.937
1697889540,+3.51,+21.908, +7.275,+0.936
1697889840,+3.51,+21.916, +7.298,+0.936
1697890140,+3.51,+21.916, +7.313,+0.936
1697890440,+3.51,+21.916, +7.325,+0.936
1697890740,+3.51,+21.899, +7.347,+0.936
1697891040,+3.51,+21.883, +7.378,+0.937
1697891340,+3.51,+21.899, +7.385,+0.936
1697891640,+3.51,+21.899, +7.407,+0.937
1697891940,+3.51,+21.924, +7.410,+0.936
1697892240,+3.51,+21.908, +7.427,+0.937
1697892540,+3.51,+21.899, +7.446,+0.937
1697892840,+3.51,+21.899, +7.455,+0.937
1697893140,+3.51,+21.891, +7.472,+0.937
1697893440,+3.51,+21.899, +7.481,+0.936
1697893740,+3.51,+21.899, +7.497,+0.937
1697894040,+3.51,+21.883, +7.511,+0.936
1697894340,+3.51,+21.899, +7.523,+0.937
1697894640,+3.51,+21.899, +7.533,+0.936
1697894940,+3.51,+21.908, +7.543,+0.937
1697895240,+3.51,+21.908, +7.556,+0.936
1697895540,+3.51,+21.899, +7.568,+0.936
1697895840,+3.51,+21.916, +7.587,+0.937
1697896140,+3.51,+21.916, +7.590,+0.936
1697896440,+3.51,+21.924, +7.602,+0.936
1697896740,+3.51,+21.924, +7.610,+0.936
1697897040,+3.51,+21.933, +7.617,+0.936
1697897340,+3.51,+21.941, +7.627,+0.936
1697897640,+3.51,+21.933, +7.642,+0.936
1697897940,+3.51,+21.908, +7.660,+0.937
1697898240,+3.51,+21.933, +7.663,+0.936
1697898540,+3.51,+21.949, +7.675,+0.937
1697898840,+3.51,+21.941, +7.678,+0.936
1697899140,+3.51,+21.975, +7.673,+0.936
1697899440,+3.51,+21.983, +7.691,+0.936
1697899740,+3.51,+21.958, +7.703,+0.936
1697900040,+3.51,+21.958, +7.716,+0.936
1697900340,+3.51,+21.975, +7.724,+0.937
1697900640,+3.51,+21.975, +7.729,+0.936
1697900940,+3.51,+21.966, +7.741,+0.936
1697901240,+3.51,+21.966, +7.756,+0.937
1697901540,+3.51,+21.991, +7.746,+0.936
1697901840,+3.51,+21.991, +7.762,+0.937
1697902140,+3.51,+21.991, +7.767,+0.936
1697902440,+3.51,+21.983, +7.777,+0.937
1697902740,+3.51,+22.000, +7.784,+0.937
1697903040,+3.51,+21.991, +7.803,+0.937
1697903340,+3.51,+22.008, +7.786,+0.936
1697903640,+3.51,+22.016, +7.797,+0.936
1697903940,+3.51,+22.000, +7.811,+0.937
1697904240,+3.51,+22.033, +7.804,+0.936
1697904540,+3.51,+22.008, +7.823,+0.936
1697904840,+3.51,+22.025, +7.826,+0.936
1697905140,+3.51,+22.042, +7.827,+0.936
1697905440,+3.51,+22.016, +7.844,+0.937
1697905740,+3.51,+22.033, +7.845,+0.937
1697906040,+3.51,+22.033, +7.842,+0.936
1697906340,+3.51,+22.042, +7.850,+0.936
1697906640,+3.51,+22.025, +7.868,+0.937
1697906940,+3.51,+22.033, +7.870,+0.937
1697907240,+3.51,+22.042, +7.876,+0.937
1697907540,+3.51,+22.058, +7.867,+0.936
1697907840,+3.51,+22.058, +7.883,+0.937
1697908140,+3.51,+22.067, +7.884,+0.937
1697908440,+3.51,+22.058, +7.885,+0.936
1697908740,+3.51,+22.083, +7.891,+0.937
1697909040,+3.51,+22.075, +7.906,+0.937
1697909340,+3.51,+22.075, +7.901,+0.936
1697909640,+3.51,+22.075, +7.906,+0.936
1697909940,+3.51,+22.083, +7.911,+0.936
1697910240,+3.51,+22.075, +7.920,+0.936
1697910540,+3.51,+22.092, +7.915,+0.936
1697910840,+3.51,+22.092, +7.924,+0.936
1697911140,+3.51,+22.108, +7.930,+0.937
1697911440,+3.51,+22.100, +7.930,+0.936
1697911740,+3.51,+22.100, +7.943,+0.937
1697912040,+3.51,+22.125, +7.935,+0.936
1697912340,+3.51,+22.100, +7.945,+0.936
1697912640,+3.51,+22.100, +7.957,+0.937
1697912940,+3.51,+22.117, +7.950,+0.936
1697913240,+3.51,+22.108, +7.961,+0.937
1697913540,+3.51,+22.125, +7.960,+0.937
1697913840,+3.51,+22.125, +7.960,+0.937
1697914140,+3.51,+22.108, +7.968,+0.937
1697914440,+3.51,+22.100, +7.978,+0.937
1697914740,+3.51,+22.108, +7.973,+0.936
1697915040,+3.51,+22.117, +7.985,+0.937
1697915340,+3.51,+22.117, +7.984,+0.937
1697915640,+3.51,+22.134, +7.975,+0.936
1697915940,+3.51,+22.134, +7.985,+0.936
1697916240,+3.51,+22.125, +7.989,+0.936
1697916540,+3.51,+22.134, +7.994,+0.936
1697916840,+3.51,+22.125, +7.998,+0.936
1697917140,+3.51,+22.125, +7.992,+0.936
1697917440,+3.51,+22.134, +8.006,+0.937
1697917740,+3.51,+22.134, +8.010,+0.937
1697918040,+3.51,+22.134, +8.004,+0.936
1697918340,+3.51,+22.142, +8.014,+0.937
1697918640,+3.51,+22.150, +8.012,+0.936
1697918940,+3.51,+22.134, +8.029,+0.937
1697919240,+3.51,+22.142, +8.027,+0.937
1697919540,+3.51,+22.134, +8.030,+0.937
1697919840,+3.51,+22.134, +8.039,+0.937
1697920140,+3.51,+22.142, +8.036,+0.937
1697920440,+3.51,+22.150, +8.038,+0.937
1697920740,+3.51,+22.134, +8.049,+0.937
1697921040,+3.51,+22.134, +8.037,+0.936
1697921340,+3.51,+22.117, +8.058,+0.937
1697921640,+3.51,+22.167, +8.042,+0.937
1697921940,+3.51,+22.134, +8.047,+0.936
1697922240,+3.51,+22.159, +8.048,+0.936
1697922540,+3.51,+22.142, +8.050,+0.936
1697922840,+3.51,+22.117, +8.063,+0.937
1697923140,+3.51,+22.134, +8.059,+0.937
1697923440,+3.51,+22.150, +8.057,+0.937
1697923740,+3.51,+22.125, +8.067,+0.937
1697924040,+3.51,+22.134, +8.064,+0.936
1697924340,+3.51,+22.142, +8.075,+0.937
1697924640,+3.51,+22.125, +8.078,+0.937
1697924940,+3.51,+22.117, +8.073,+0.936
1697925240,+3.51,+22.117, +8.079,+0.936
1697925540,+3.51,+22.134, +8.074,+0.936
1697925840,+3.51,+22.134, +8.082,+0.937
1697926140,+3.51,+22.134, +8.084,+0.937
1697926440,+3.51,+22.117, +8.096,+0.937
1697926740,+3.51,+22.117, +8.097,+0.937
1697927040,+3.51,+22.125, +8.084,+0.936
1697927340,+3.51,+22.108, +8.097,+0.936
1697927640,+3.51,+22.108, +8.101,+0.936
1697927940,+3.51,+22.075, +8.127,+0.937
1697928240,+3.51,+22.092, +8.105,+0.936
1697928540,+3.51,+22.108, +8.111,+0.937
1697928840,+3.51,+22.117, +8.116,+0.937
1697929140,+3.51,+22.092, +8.123,+0.937
1697929440,+3.51,+22.092, +8.117,+0.936
1697929740,+3.51,+22.100, +8.126,+0.937
1697930040,+3.51,+22.108, +8.122,+0.936
1697930340,+3.51,+22.083, +8.137,+0.937
1697930640,+3.51,+22.092, +8.130,+0.937
1697930940,+3.51,+22.092, +8.139,+0.937
1697931240,+3.51,+22.083, +8.129,+0.936
1697931540,+3.51,+22.092, +8.142,+0.937
1697931840,+3.51,+22.075, +8.146,+0.937
1697932140,+3.51,+22.058, +8.138,+0.936
1697932440,+3.51,+22.058, +8.152,+0.937
1697932740,+3.51,+22.067, +8.152,+0.937
1697933040,+3.51,+22.042, +8.165,+0.937
1697933340,+3.51,+22.058, +8.153,+0.937
1697933640,+3.51,+22.050, +8.151,+0.937
1697933940,+3.51,+22.058, +8.158,+0.937
1697934240,+3.51,+22.033, +8.158,+0.937
1697934540,+3.51,+22.042, +8.161,+0.937
1697934840,+3.51,+22.042, +8.157,+0.936
1697935140,+3.51,+22.050, +8.157,+0.937
1697935440,+3.51,+22.025, +8.177,+0.937
1697935740,+3.51,+22.033, +8.166,+0.937
1697936040,+3.51,+22.025, +8.168,+0.936
1697936340,+3.51,+22.025, +8.169,+0.936
1697936640,+3.51,+22.016, +8.186,+0.937
1697936940,+3.51,+22.008, +8.169,+0.936
1697937240,+3.51,+22.000, +8.187,+0.937
1697937540,+3.51,+22.008, +8.188,+0.937
1697937840,+3.51,+22.000, +8.181,+0.937
1697938140,+3.51,+22.000, +8.184,+0.937
1697938440,+3.51,+22.016, +8.179,+0.936
1697938740,+3.51,+22.000, +8.192,+0.937
1697939040,+3.51,+21.983, +8.188,+0.937
1697939340,+3.51,+21.983, +8.194,+0.936
1697939640,+3.51,+21.983, +8.197,+0.937
1697939940,+3.51,+21.991, +8.183,+0.936
1697940240,+3.51,+21.975, +8.208,+0.938
1697940540,+3.51,+21.958, +8.200,+0.937
1697940840,+3.51,+21.975, +8.196,+0.936
1697941140,+3.51,+21.966, +8.205,+0.937
1697941440,+3.51,+21.949, +8.212,+0.937
1697941740,+3.51,+21.966, +8.210,+0.937
1697942040,+3.51,+21.958, +8.204,+0.937
1697942340,+3.51,+21.941, +8.214,+0.937
1697942640,+3.51,+21.949, +8.204,+0.936
1697942940,+3.51,+21.933, +8.215,+0.937
1697943240,+3.51,+21.941, +8.204,+0.936
1697943540,+3.51,+21.933, +8.213,+0.937
1697943840,+3.51,+21.941, +8.209,+0.937
1697944140,+3.51,+21.924, +8.216,+0.937
1697944440,+3.51,+21.933, +8.215,+0.937
1697944740,+3.51,+21.941, +8.206,+0.936
1697945040,+3.51,+21.941, +8.216,+0.937
1697945340,+3.51,+21.916, +8.217,+0.937
1697945640,+3.51,+21.916, +8.219,+0.937
1697945940,+3.51,+21.916, +8.221,+0.937
1697946240,+3.51,+21.899, +8.227,+0.937
1697946540,+3.51,+21.908, +8.227,+0.937
1697946840,+3.51,+21.908, +8.226,+0.937
1697947140,+3.51,+21.891, +8.235,+0.937
1697947440,+3.51,+21.899, +8.223,+0.936
1697947740,+3.51,+21.899, +8.214,+0.936
1697948040,+3.51,+21.891, +8.230,+0.937
1697948340,+3.51,+21.899, +8.230,+0.937
1697948640,+3.51,+21.883, +8.230,+0.937
1697948940,+3.51,+21.883, +8.224,+0.936
1697949240,+3.51,+21.883, +8.236,+0.937
1697949540,+3.51,+21.883, +8.234,+0.937
1697949840,+3.51,+21.874, +8.236,+0.937
1697950140,+3.51,+21.866, +8.240,+0.937
1697950440,+3.51,+21.849, +8.238,+0.937
1697950740,+3.51,+21.866, +8.238,+0.937
1697951040,+3.51,+21.857, +8.236,+0.937
1697951340,+3.51,+21.857, +8.241,+0.937
1697951640,+3.51,+21.857, +8.237,+0.937
1697951940,+3.51,+21.849, +8.250,+0.937
1697952240,+3.51,+21.849, +8.241,+0.937
1697952540,+3.51,+21.841, +8.238,+0.937
1697952840,+3.51,+21.841, +8.243,+0.937
1697953140,+3.51,+21.857, +8.234,+0.936
1697953440,+3.51,+21.849, +8.240,+0.937
1697953740,+3.51,+21.849, +8.231,+0.936
1697954040,+3.51,+21.824, +8.244,+0.936
1697954340,+3.51,+21.816, +8.242,+0.936
1697954640,+3.51,+21.832, +8.248,+0.937
