7450-325834
OS REV: 1.05 Sensor Cal: 1678992891
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697921400,+3.50,+22.109, +7.717,+0.949
1697921700,+3.50,+22.117, +7.708,+0.948
1697922000,+3.50,+22.109, +7.715,+0.949
1697922300,+3.50,+22.117, +7.703,+0.948
1697922600,+3.50,+22.101, +7.711,+0.948
1697922900,+3.50,+22.109, +7.706,+0.948
1697923200,+3.50,+22.109, +7.707,+0.949
1697923500,+3.50,+22.117, +7.706,+0.949
1697923800,+3.50,+22.092, +7.711,+0.949
1697924100,+3.50,+22.109, +7.704,+0.949
1697924400,+3.50,+22.101, +7.704,+0.949
1697924700,+3.50,+22.101, +7.701,+0.948
1697925000,+3.50,+22.109, +7.699,+0.948
1697925300,+3.50,+22.101, +7.703,+0.949
1697925600,+3.50,+22.092, +7.701,+0.948
1697925900,+3.50,+22.109, +7.700,+0.949
1697926200,+3.50,+22.101, +7.701,+0.949
1697926500,+3.50,+22.101, +7.694,+0.948
1697926800,+3.50,+22.101, +7.697,+0.949
1697927100,+3.50,+22.092, +7.693,+0.948
1697927400,+3.50,+22.084, +7.699,+0.948
1697927700,+3.50,+22.084, +7.698,+0.948
1697928000,+3.50,+22.109, +7.693,+0.949
1697928300,+3.50,+22.067, +7.708,+0.949
1697928600,+3.50,+22.084, +7.699,+0.949
1697928900,+3.50,+22.092, +7.693,+0.948
1697929200,+3.50,+22.067, +7.699,+0.949
1697929500,+3.50,+22.084, +7.699,+0.949
1697929800,+3.50,+22.076, +7.695,+0.949
1697930100,+3.50,+22.076, +7.694,+0.949
1697930400,+3.50,+22.059, +7.700,+0.949
1697930700,+3.50,+22.050, +7.697,+0.949
1697931000,+3.50,+22.084, +7.685,+0.948
1697931300,+3.50,+22.050, +7.693,+0.948
1697931600,+3.50,+22.059, +7.688,+0.948
1697931900,+3.50,+22.050, +7.694,+0.949
1697932200,+3.50,+22.050, +7.691,+0.948
1697932500,+3.50,+22.034, +7.691,+0.948
1697932800,+3.50,+22.050, +7.693,+0.949
1697933100,+3.50,+22.042, +7.691,+0.949
1697933400,+3.50,+22.042, +7.689,+0.949
