7450-334927
OS REV: 1.05 Sensor Cal: 1679088857
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697574540,+3.53,+22.372, +8.442,+0.943
1697574840,+3.53,+22.430, +8.439,+0.943
1697575140,+3.53,+22.388, +8.430,+0.943
1697575440,+3.53,+22.355, +8.440,+0.943
1697575740,+3.53,+22.338, +8.451,+0.943
1697576040,+3.53,+22.313, +8.459,+0.944
1697576340,+3.53,+22.263, +8.465,+0.943
1697576640,+3.53,+22.238, +8.471,+0.943
1697576940,+3.53,+22.230, +8.466,+0.943
1697577240,+3.53,+22.179, +8.499,+0.944
1697577540,+3.53,+22.154, +8.488,+0.943
1697577840,+3.52,+22.121, +8.503,+0.944
1697578140,+3.52,+22.096, +8.511,+0.944
1697578440,+3.52,+22.087, +8.493,+0.943
1697578740,+3.52,+22.046, +8.518,+0.944
1697579040,+3.52,+22.029, +8.520,+0.944
1697579340,+3.53,+22.004, +8.516,+0.943
1697579640,+3.53,+21.987, +8.520,+0.944
1697579940,+3.53,+21.954, +8.522,+0.943
1697580240,+3.53,+21.954, +8.530,+0.944
1697580540,+3.53,+21.937, +8.535,+0.944
1697580840,+3.53,+21.912, +8.528,+0.943
1697581140,+3.53,+21.912, +8.531,+0.943
1697581440,+3.53,+21.887, +8.532,+0.943
1697581740,+3.53,+21.862, +8.530,+0.942
1697582040,+3.53,+21.862, +8.557,+0.944
1697582340,+3.53,+21.828, +8.552,+0.943
1697582640,+3.53,+21.820, +8.553,+0.943
1697582940,+3.53,+21.820, +8.543,+0.943
1697583240,+3.53,+21.795, +8.559,+0.943
1697583540,+3.53,+21.795, +8.569,+0.944
1697583840,+3.53,+21.761, +8.571,+0.943
1697584140,+3.53,+21.786, +8.560,+0.943
1697584440,+3.53,+21.761, +8.564,+0.943
1697584740,+3.53,+21.761, +8.563,+0.943
1697585040,+3.53,+21.736, +8.574,+0.943
1697585340,+3.53,+21.753, +8.558,+0.943
1697585640,+3.53,+21.720, +8.577,+0.943
1697585940,+3.53,+21.711, +8.571,+0.943
1697586240,+3.53,+21.686, +8.587,+0.944
1697586540,+3.53,+21.711, +8.577,+0.943
1697586840,+3.53,+21.694, +8.579,+0.943
1697587140,+3.53,+21.669, +8.585,+0.943
1697587440,+3.53,+21.669, +8.585,+0.943
1697587740,+3.53,+21.661, +8.590,+0.943
1697588040,+3.53,+21.653, +8.584,+0.943
1697588340,+3.53,+21.636, +8.593,+0.943
1697588640,+3.53,+21.636, +8.597,+0.943
1697588940,+3.53,+21.636, +8.589,+0.943
1697589240,+3.53,+21.628, +8.595,+0.943
1697589540,+3.53,+21.586, +8.615,+0.944
1697589840,+3.53,+21.594, +8.606,+0.943
1697590140,+3.53,+21.586, +8.597,+0.943
1697590440,+3.53,+21.577, +8.600,+0.943
1697590740,+3.53,+21.569, +8.608,+0.943
1697591040,+3.53,+21.561, +8.614,+0.943
1697591340,+3.53,+21.544, +8.616,+0.943
1697591640,+3.53,+21.544, +8.613,+0.943
1697591940,+3.53,+21.544, +8.615,+0.943
1697592240,+3.53,+21.519, +8.621,+0.943
1697592540,+3.53,+21.544, +8.617,+0.943
1697592840,+3.53,+21.527, +8.628,+0.944
1697593140,+3.53,+21.511, +8.618,+0.943
1697593440,+3.53,+21.502, +8.622,+0.943
1697593740,+3.53,+21.494, +8.620,+0.943
1697594040,+3.53,+21.502, +8.626,+0.943
1697594340,+3.53,+21.494, +8.639,+0.944
1697594640,+3.53,+21.502, +8.619,+0.943
1697594940,+3.53,+21.469, +8.650,+0.944
1697595240,+3.53,+21.486, +8.631,+0.943
1697595540,+3.53,+21.460, +8.635,+0.943
1697595840,+3.53,+21.460, +8.635,+0.943
1697596140,+3.53,+21.444, +8.638,+0.943
1697596440,+3.53,+21.452, +8.632,+0.943
1697596740,+3.53,+21.444, +8.636,+0.943
1697597040,+3.53,+21.435, +8.653,+0.944
1697597340,+3.53,+21.444, +8.636,+0.943
1697597640,+3.53,+21.452, +8.634,+0.943
1697597940,+3.53,+21.419, +8.642,+0.943
1697598240,+3.53,+21.419, +8.653,+0.944
1697598540,+3.53,+21.419, +8.653,+0.943
1697598840,+3.53,+21.402, +8.653,+0.943
1697599140,+3.53,+21.410, +8.650,+0.943
1697599440,+3.53,+21.394, +8.663,+0.944
1697599740,+3.53,+21.385, +8.664,+0.944
1697600040,+3.53,+21.394, +8.651,+0.943
1697600340,+3.53,+21.368, +8.664,+0.943
1697600640,+3.53,+21.385, +8.653,+0.943
1697600940,+3.53,+21.377, +8.660,+0.943
1697601240,+3.53,+21.385, +8.658,+0.943
1697601540,+3.53,+21.385, +8.656,+0.943
1697601840,+3.53,+21.368, +8.661,+0.943
1697602140,+3.53,+21.360, +8.676,+0.944
1697602440,+3.53,+21.368, +8.654,+0.943
1697602740,+3.53,+21.360, +8.666,+0.943
1697603040,+3.53,+21.360, +8.664,+0.943
1697603340,+3.53,+21.352, +8.663,+0.943
1697603640,+3.53,+21.360, +8.668,+0.943
1697603940,+3.53,+21.343, +8.671,+0.943
1697604240,+3.53,+21.352, +8.681,+0.944
1697604540,+3.53,+21.343, +8.681,+0.944
1697604840,+3.53,+21.327, +8.665,+0.943
1697605140,+3.53,+21.352, +8.660,+0.943
1697605440,+3.53,+21.327, +8.680,+0.943
1697605740,+3.53,+21.318, +8.680,+0.943
1697606040,+3.53,+21.327, +8.682,+0.943
1697606340,+3.53,+21.327, +8.673,+0.943
