7450-269898
OS REV: 1.05 Sensor Cal: 1678994772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1697019480,+3.52,+20.481, +8.738,+0.957
1697019780,+3.52,+20.506, +8.750,+0.958
1697020080,+3.52,+20.497, +8.746,+0.957
1697020380,+3.52,+20.455, +8.768,+0.956
1697020680,+3.53,+20.338, +8.778,+0.955
1697020980,+3.53,+20.112, +8.825,+0.956
1697021280,+3.52,+19.911, +8.850,+0.956
1697021580,+3.52,+19.660, +8.897,+0.956
1697021880,+3.52,+19.450, +8.934,+0.956
1697022180,+3.53,+19.283, +8.964,+0.956
1697022480,+3.53,+19.132, +8.992,+0.956
1697022780,+3.52,+18.922, +9.025,+0.956
1697023080,+3.52,+18.711, +9.067,+0.956
1697023380,+3.53,+18.493, +9.096,+0.956
1697023680,+3.53,+18.274, +9.132,+0.956
1697023980,+3.53,+18.055, +9.163,+0.956
1697024280,+3.52,+17.835, +9.197,+0.956
1697024580,+3.52,+17.590, +9.242,+0.956
1697024880,+3.53,+17.328, +9.293,+0.954
1697025180,+3.53,+17.100, +9.365,+0.954
1697025480,+3.53,+16.871, +9.409,+0.955
1697025780,+3.52,+16.667, +9.407,+0.954
1697026080,+3.52,+16.463, +9.479,+0.955
1697026380,+3.53,+16.224, +9.517,+0.955
1697026680,+3.53,+15.977, +9.586,+0.955
1697026980,+3.53,+16.002, +9.577,+0.955
1697027280,+3.53,+15.960, +9.603,+0.956
1697027580,+3.53,+15.866, +9.622,+0.956
1697027880,+3.53,+15.797, +9.634,+0.955
1697028180,+3.53,+15.771, +9.668,+0.956
1697028480,+3.53,+15.900, +9.621,+0.956
1697028780,+3.53,+16.062, +9.590,+0.956
1697029080,+3.53,+16.190, +9.573,+0.956
1697029380,+3.52,+16.309, +9.540,+0.956
1697029680,+3.52,+16.565, +9.521,+0.960
1697029980,+3.52,+17.895, +9.255,+0.960
1697030280,+3.52,+19.241, +8.975,+0.959
1697030580,+3.52,+19.878, +8.872,+0.958
1697030880,+3.52,+19.635, +8.914,+0.959
1697031180,+3.52,+19.375, +8.950,+0.957
1697031480,+3.52,+19.006, +9.028,+0.957
1697031780,+3.52,+18.762, +9.078,+0.957
1697032080,+3.52,+18.636, +9.096,+0.955
1697032380,+3.52,+18.989, +9.008,+0.954
1697032680,+3.52,+19.559, +8.905,+0.954
1697032980,+3.52,+20.439, +8.751,+0.953
1697033280,+3.52,+20.087, +8.974,+0.934
1697033580,+3.52,+19.727, +9.525,+0.935
1697033880,+3.52,+19.568, +9.547,+0.853
1697034180,+3.52,+19.543, +9.553,+0.853
1697034480,+3.52,+19.492, +9.504,+0.850
1697034780,+3.52,+19.517, +9.512,+0.851
1697035080,+3.52,+19.534, +9.509,+0.850
1697035380,+3.52,+19.543, +9.503,+0.850
1697035680,+3.52,+19.509, +9.533,+0.851
1697035980,+3.52,+19.492, +9.542,+0.851
1697036280,+3.52,+19.476, +9.545,+0.851
1697036580,+3.52,+19.484, +9.543,+0.850
1697036880,+3.52,+19.484, +9.553,+0.851
1697037180,+3.52,+19.467, +9.582,+0.851
1697037480,+3.52,+19.501, +9.554,+0.850
1697037780,+3.52,+19.543, +9.552,+0.851
1697038080,+3.52,+19.559, +9.567,+0.851
1697038380,+3.52,+19.618, +9.538,+0.850
1697038680,+3.52,+19.643, +9.548,+0.851
1697038980,+3.52,+19.685, +9.540,+0.850
1697039280,+3.52,+19.685, +9.538,+0.850
1697039580,+3.52,+19.710, +9.548,+0.851
1697039880,+3.52,+19.744, +9.544,+0.851
1697040180,+3.52,+19.735, +9.551,+0.851
1697040480,+3.51,+19.794, +9.544,+0.851
1697040780,+3.51,+19.811, +9.527,+0.850
1697041080,+3.51,+19.853, +9.529,+0.851
1697041380,+3.51,+19.869, +9.531,+0.851
1697041680,+3.51,+19.911, +9.523,+0.851
1697041980,+3.51,+19.928, +9.540,+0.851
1697042280,+3.51,+19.953, +9.529,+0.851
1697042580,+3.51,+19.995, +9.519,+0.851
1697042880,+3.51,+20.012, +9.513,+0.850
1697043180,+3.51,+20.020, +9.511,+0.850
1697043480,+3.51,+20.012, +9.518,+0.850
1697043780,+3.52,+20.029, +9.503,+0.850
1697044080,+3.52,+20.045, +9.513,+0.851
1697044380,+3.52,+20.079, +9.491,+0.850
1697044680,+3.52,+20.070, +9.489,+0.850
1697044980,+3.52,+20.112, +9.476,+0.850
1697045280,+3.52,+20.129, +9.480,+0.850
1697045580,+3.52,+20.146, +9.504,+0.851
1697045880,+3.52,+20.179, +9.484,+0.850
1697046180,+3.52,+20.213, +9.455,+0.849
1697046480,+3.52,+20.204, +9.467,+0.850
1697046780,+3.52,+20.196, +9.479,+0.851
1697047080,+3.52,+20.188, +9.464,+0.850
1697047380,+3.52,+20.171, +9.452,+0.850
1697047680,+3.52,+20.163, +9.446,+0.850
1697047980,+3.52,+20.163, +9.448,+0.850
1697048280,+3.52,+20.196, +9.433,+0.850
1697048580,+3.52,+20.221, +9.411,+0.850
1697048880,+3.52,+20.271, +9.396,+0.850
1697049180,+3.52,+20.296, +9.378,+0.850
1697049480,+3.52,+20.330, +9.361,+0.850
