7450-249209
OS REV: 1.05 Sensor Cal: 1678994209
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1698101520,+3.51,+21.791, +8.832,+0.943
1698101820,+3.51,+21.799, +8.831,+0.944
1698102120,+3.51,+21.808, +8.836,+0.944
1698102420,+3.51,+21.825, +8.818,+0.943
1698102720,+3.51,+21.858, +8.823,+0.944
1698103020,+3.51,+21.841, +8.814,+0.943
1698103320,+3.51,+21.850, +8.816,+0.943
1698103620,+3.51,+21.866, +8.822,+0.943
1698103920,+3.51,+21.875, +8.817,+0.943
1698104220,+3.51,+21.891, +8.810,+0.943
1698104520,+3.51,+21.866, +8.822,+0.943
1698104820,+3.51,+21.866, +8.816,+0.943
1698105120,+3.51,+21.900, +8.815,+0.943
1698105420,+3.51,+21.883, +8.825,+0.943
1698105720,+3.51,+21.891, +8.809,+0.943
1698106020,+3.51,+21.916, +8.818,+0.944
1698106320,+3.51,+21.900, +8.808,+0.943
1698106620,+3.51,+21.900, +8.814,+0.943
1698106920,+3.51,+21.908, +8.816,+0.944
1698107220,+3.51,+21.900, +8.816,+0.943
1698107520,+3.51,+21.900, +8.826,+0.944
1698107820,+3.51,+21.883, +8.827,+0.944
1698108120,+3.51,+21.883, +8.829,+0.944
1698108420,+3.51,+21.891, +8.825,+0.944
1698108720,+3.51,+21.883, +8.821,+0.943
1698109020,+3.51,+21.891, +8.824,+0.943
1698109320,+3.51,+21.883, +8.815,+0.942
1698109620,+3.51,+21.891, +8.819,+0.943
1698109920,+3.51,+21.883, +8.827,+0.943
1698110220,+3.51,+21.875, +8.830,+0.943
1698110520,+3.51,+21.875, +8.841,+0.944
1698110820,+3.51,+21.891, +8.812,+0.942
1698111120,+3.51,+21.875, +8.828,+0.943
1698111420,+3.51,+21.883, +8.825,+0.943
1698111720,+3.51,+21.866, +8.826,+0.943
1698112020,+3.51,+21.866, +8.827,+0.943
1698112320,+3.51,+21.850, +8.840,+0.943
1698112620,+3.51,+21.850, +8.834,+0.943
1698112920,+3.51,+21.858, +8.833,+0.943
1698113220,+3.51,+21.841, +8.838,+0.943
1698113520,+3.51,+21.841, +8.852,+0.944
1698113820,+3.52,+21.841, +8.835,+0.943
1698114120,+3.51,+21.841, +8.839,+0.943
1698114420,+3.52,+21.808, +8.847,+0.943
1698114720,+3.52,+21.808, +8.849,+0.943
1698115020,+3.52,+21.825, +8.839,+0.943
1698115320,+3.52,+21.841, +8.833,+0.943
1698115620,+3.52,+21.816, +8.846,+0.943
1698115920,+3.52,+21.816, +8.854,+0.944
1698116220,+3.52,+21.808, +8.849,+0.943
1698116520,+3.52,+21.808, +8.855,+0.944
1698116820,+3.52,+21.799, +8.854,+0.944
1698117120,+3.52,+21.791, +8.855,+0.944
1698117420,+3.52,+21.808, +8.836,+0.943
1698117720,+3.52,+21.783, +8.855,+0.943
1698118020,+3.52,+21.783, +8.860,+0.944
1698118320,+3.52,+21.774, +8.855,+0.943
1698118620,+3.52,+21.766, +8.861,+0.943
1698118920,+3.52,+21.766, +8.853,+0.943
1698119220,+3.52,+21.774, +8.849,+0.943
1698119520,+3.52,+21.749, +8.872,+0.944
1698119820,+3.52,+21.758, +8.864,+0.943
1698120120,+3.52,+21.749, +8.863,+0.943
1698120420,+3.52,+21.749, +8.867,+0.944
1698120720,+3.52,+21.741, +8.856,+0.942
1698121020,+3.52,+21.741, +8.862,+0.943
1698121320,+3.52,+21.741, +8.866,+0.943
1698121620,+3.52,+21.724, +8.866,+0.943
1698121920,+3.52,+21.741, +8.864,+0.943
1698122220,+3.52,+21.724, +8.871,+0.944
1698122520,+3.52,+21.724, +8.867,+0.943
1698122820,+3.52,+21.708, +8.877,+0.944
1698123120,+3.52,+21.716, +8.857,+0.943
1698123420,+3.52,+21.691, +8.864,+0.942
1698123720,+3.52,+21.708, +8.867,+0.943
1698124020,+3.52,+21.699, +8.863,+0.943
1698124320,+3.52,+21.691, +8.872,+0.943
1698124620,+3.52,+21.691, +8.869,+0.943
1698124920,+3.52,+21.674, +8.863,+0.942
1698125220,+3.52,+21.666, +8.889,+0.944
