date,year,month,day,river,site,treatment,replicate,chamber_id,T1,T2,notes
6/9/23,2023,6,,POT,BR,SAV-D,1,A,12:05,14:38,
6/9/23,2023,6,,POT,BR,SAV-D,2,B,11:55,14:30,
6/9/23,2023,6,,POT,BR,SAV-D,3,C,12:15,14:45,
6/9/23,2023,6,,POT,BR,SAV-L,1,D,12:30,15:00,
6/9/23,2023,6,,POT,BR,SAV-L,2,E,12:45,15:13,
6/9/23,2023,6,,POT,BR,SAV-L,3,F,13:00,15:19,
6/9/23,2023,6,,POT,BR,SED-D,1,G,13:26,15:45,
6/9/23,2023,6,,POT,BR,SED-D,2,H,13:01,15:40,
6/9/23,2023,6,,POT,BR,SED-D,3,I,12:48,15:35,
6/9/23,2023,6,,POT,BR,SED-L,1,J,13:37,15:55,
6/9/23,2023,6,,POT,BR,SED-L,2,K,13:26,16:09,
6/9/23,2023,6,,POT,BR,SED-L,3,L,13:48,16:16,
6/9/23,2023,6,,POT,BR,W-D,1,M,11:35,17:03,
6/9/23,2023,6,,POT,BR,W-D,2,N,11:48,17:09,
6/9/23,2023,6,,POT,BR,W-D,3,O,12:00,17:15,
6/9/23,2023,6,,POT,BR,W-L,1,P,12:15,16:56,
6/9/23,2023,6,,POT,BR,W-L,2,Q,12:20,16:49,
6/9/23,2023,6,,POT,BR,W-L,3,R,12:31,16:45,
6/9/23,2023,6,,POT,BR,AMBIENT,1,Z,12:55,16:25,
6/2/23,2023,6,2,YOR,BR,SAV-D,1,A,14:15,17:21,
6/2/23,2023,6,2,YOR,BR,SAV-D,2,B,13:35,17:27,
6/2/23,2023,6,2,YOR,BR,SAV-D,3,C,13:50,17:14,
6/2/23,2023,6,2,YOR,BR,SAV-L,1,D,12:58,17:30,
6/2/23,2023,6,2,YOR,BR,SAV-L,2,E,12:39,17:00,
6/2/23,2023,6,2,YOR,BR,SAV-L,3,F,13:11,17:08,
6/2/23,2023,6,2,YOR,BR,SED-D,1,G,11:33,15:38,
6/2/23,2023,6,2,YOR,BR,SED-D,2,H,11:42,15:49,
6/2/23,2023,6,2,YOR,BR,SED-D,3,I,11:52,15:53,
6/2/23,2023,6,2,YOR,BR,SED-L,1,J,12:03,15:57,
6/2/23,2023,6,2,YOR,BR,SED-L,2,K,12:14,16:08,
6/2/23,2023,6,2,YOR,BR,SED-L,3,L,12:21,16:19,
6/2/23,2023,6,2,YOR,BR,W-D,1,M,14:15,16:00,
6/2/23,2023,6,2,YOR,BR,W-D,2,N,14:10,16:30,
6/2/23,2023,6,2,YOR,BR,W-D,3,O,14:18,18:32,
6/2/23,2023,6,2,YOR,BR,W-L,1,P,14:30,18:30,
6/2/23,2023,6,2,YOR,BR,W-L,2,Q,14:36,18:49,
6/2/23,2023,6,2,YOR,BR,W-L,3,R,14:43,18:55,
6/2/23,2023,6,2,YOR,BR,AMBIENT,1,Z,11:00,18:30,
5/23/23,2023,5,23,YOR,FW,SAV-D,1,A,12:50,16:50,
5/23/23,2023,5,23,YOR,FW,SAV-D,2,B,12:35,16:40,
5/23/23,2023,5,23,YOR,FW,SAV-D,3,C,13:05,16:50,
5/23/23,2023,5,23,YOR,FW,SAV-L,1,D,12:15,16:30,
5/23/23,2023,5,23,YOR,FW,SAV-L,2,E,13:02,17:04,
5/23/23,2023,5,23,YOR,FW,SAV-L,3,F,13:40,17:30,
5/23/23,2023,5,23,YOR,FW,SED-D,1,G,13:13,16:30,
5/23/23,2023,5,23,YOR,FW,SED-D,2,H,13:25,17:20,
5/23/23,2023,5,23,YOR,FW,SED-D,3,I,13:29,17:30,
5/23/23,2023,5,23,YOR,FW,SED-L,1,J,13:56,17:50,
5/23/23,2023,5,23,YOR,FW,SED-L,2,K,13:49,17:42,
5/23/23,2023,5,23,YOR,FW,SED-L,3,L,14:01,17:50,
5/23/23,2023,5,23,YOR,FW,W-D,1,M,14:26,18:16,
5/23/23,2023,5,23,YOR,FW,W-D,2,N,14:26,18:16,
5/23/23,2023,5,23,YOR,FW,W-D,3,O,14:26,18:16,
5/23/23,2023,5,23,YOR,FW,W-L,1,P,14:45,18:00,
5/23/23,2023,5,23,YOR,FW,W-L,2,Q,14:35,18:07,
5/23/23,2023,5,23,YOR,FW,W-L,3,R,14:35,18:07,
5/23/23,2023,5,23,YOR,FW,AMBIENT,1,Z,10:40,19:20,
8/1/23,2023,8,1,POT,BR,SAV-D,1,A,9:15,12:20,
8/1/23,2023,8,1,POT,BR,SAV-D,2,B,9:26,12:25,
8/1/23,2023,8,1,POT,BR,SAV-D,3,C,10:15,12:38,
8/1/23,2023,8,1,POT,BR,SAV-L,1,D,10:25,12:47,
8/1/23,2023,8,1,POT,BR,SAV-L,2,E,10:30,12:58,
8/1/23,2023,8,1,POT,BR,SAV-L,3,F,10:30,13:08,
8/1/23,2023,8,1,POT,BR,SED-D,1,G,11:00,13:20,
8/1/23,2023,8,1,POT,BR,SED-D,2,H,10:48,13:30,
8/1/23,2023,8,1,POT,BR,SED-D,3,I,10:58,13:38,
8/1/23,2023,8,1,POT,BR,SED-L,1,J,11:15,13:49,
8/1/23,2023,8,1,POT,BR,SED-L,2,K,11:06,13:55,
8/1/23,2023,8,1,POT,BR,SED-L,3,L,11:20,14:00,
8/1/23,2023,8,1,POT,BR,W-D,1,M,10:30,12:13,
8/1/23,2023,8,1,POT,BR,W-D,2,N,8:59,12:30,
8/1/23,2023,8,1,POT,BR,W-D,3,O,9:18,12:50,
8/1/23,2023,8,1,POT,BR,W-L,1,P,10:35,13:04,
8/1/23,2023,8,1,POT,BR,W-L,2,Q,10:00,13:20,
