id_num,sample,ta_umol_kg,water_kg_m3,ta_umol_l
1,CHALK_TA_01_SAV_SP23_POT_BR_SAV-D_R1_T1,1630.858758,1007.4,1642.927113
2,CHALK_TA_02_SAV_SP23_POT_BR_SAV-D_R2_T1,1638.490919,1007.4,1650.615752
3,CHALK_TA_03_SAV_SP23_POT_BR_SAV-D_R3_T1,1629.785198,1007.4,1641.845608
4,CHALK_TA_04_SAV_SP23_POT_BR_SAV-L_R1_T1,1647.515503,1007.4,1659.707118
5,CHALK_TA_05_SAV_SP23_POT_BR_SAV-L_R2_T1,1648.727578,1007.4,1660.928162
6,CHALK_TA_06_SAV_SP23_POT_BR_SAV-L_R3_T1,1644.554763,1007.4,1656.724468
7,CHALK_TA_07_SAV_SP23_POT_BR_SED-D_R1_T1,1654.723641,1007.4,1666.968596
8,CHALK_TA_08_SAV_SP23_POT_BR_SED-D_R2_T1,1651.074045,1007.4,1663.291993
9,CHALK_TA_09_SAV_SP23_POT_BR_SED-D_R3_T1,1653.193388,1007.4,1665.427019
10,CHALK_TA_10_SAV_SP23_POT_BR_SED-L_R1_T1,1645.933328,1007.4,1658.113235
11,CHALK_TA_11_SAV_SP23_POT_BR_SED-L_R2_T1,1642.050684,1007.4,1654.201859
12,CHALK_TA_12_SAV_SP23_POT_BR_SED-L_R3_T1,1638.866202,1007.4,1650.993812
13,CHALK_TA_13_SAV_SP23_POT_BR_W-D_R1_T1,1631.62051,1007.4,1643.694502
14,CHALK_TA_14_SAV_SP23_POT_BR_W-D_R2_T1,1629.920824,1007.4,1641.982238
15,CHALK_TA_15_SAV_SP23_POT_BR_W-D_R3_T1,1634.596005,1007.4,1646.692015
16,CHALK_TA_16_SAV_SP23_POT_BR_W-L_R1_T1,1635.519824,1007.4,1647.622671
17,CHALK_TA_17_SAV_SP23_POT_BR_W-L_R2_T1,1638.277225,1007.4,1650.400476
18,CHALK_TA_18_SAV_SP23_POT_BR_W-L_R3_T1,1641.748097,1007.4,1653.897033
19,CHALK_TA_19_SAV_SP23_POT_BR_SAV-D_R1_T2,1647.394002,1007.4,1659.584718
20,CHALK_TA_20_SAV_SP23_POT_BR_SAV-D_R2_T2,1644.878778,1007.4,1657.050881
21,CHALK_TA_21_SAV_SP23_POT_BR_SAV-D_R3_T2,1484.06137,1007.4,1495.043424
22,CHALK_TA_22_SAV_SP23_POT_BR_SAV-L_R1_T2,1650.081369,1007.4,1662.291971
23,CHALK_TA_23_SAV_SP23_POT_BR_SAV-L_R2_T2,1650.235456,1007.4,1662.447198
24,CHALK_TA_24_SAV_SP23_POT_BR_SAV-L_R3_T2,1651.523292,1007.4,1663.744564
25,CHALK_TA_25_SAV_SP23_POT_BR_SED-D_R1_T2,1644.940466,1007.4,1657.113025
26,CHALK_TA_26_SAV_SP23_POT_BR_SED-D_R2_T2,1645.119857,1007.4,1657.293744
27,CHALK_TA_27_SAV_SP23_POT_BR_SED-D_R3_T2,1636.503283,1007.4,1648.613407
28,CHALK_TA_28_SAV_SP23_POT_BR_SED-L_R1_T2,1644.446774,1007.4,1656.61568
29,CHALK_TA_29_SAV_SP23_POT_BR_SED-L_R2_T2,1693.526172,1007.4,1706.058266
30,CHALK_TA_30_SAV_SP23_POT_BR_SED-L_R3_T2,1652.625417,1007.4,1664.854845
31,CHALK_TA_31_SAV_SP23_POT_BR_W-D_R1_T2,1637.464285,1007.4,1649.581521
32,CHALK_TA_32_SAV_SP23_POT_BR_W-D_R2_T2,1637.198018,1007.4,1649.313283
33,CHALK_TA_33_SAV_SP23_POT_BR_W-D_R3_T2,1633.283757,1007.4,1645.370057
34,CHALK_TA_34_SAV_SP23_POT_BR_W-L_R1_T2,1651.746658,1007.4,1663.969583
35,CHALK_TA_35_SAV_SP23_POT_BR_W-L_R2_T2,1639.066343,1007.4,1651.195434
